MIDA label,MIDA structure,Assigned tissue,sigma (S/m),Frequency (Hz),Source,Assignment,sigma low,sigma high,Volume fraction,Note
1,Dura,Dura,0.06,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",lookup,0.0006,0.06,0.020207,
2,Cerebellum Gray Matter,Cerebellum,0.5766124444444444,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",judgement,0.48,0.646504,0.020041,"IT'IS carries one Cerebellum entry, not split into grey and white matter"
3,Pineal Body,Pineal Body,0.4811,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",lookup,0.4811,0.4811,2.6e-05,
4,Amygdala,Brain (Grey Matter),0.4190548817650446,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",judgement,0.06,0.83,0.000689,"deep grey nucleus, no IT'IS entry"
5,Hippocampus,Hippocampus,0.4190548817650446,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",lookup,0.06,0.83,0.001181,
6,CSF Ventricles,csf,1.79,100.0,SimNIBS 4.6 default (head-modelling convention),lookup,,,0.002828,
7,Caudate Nucleus,Brain (Grey Matter),0.4190548817650446,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",judgement,0.06,0.83,0.001439,"deep grey nucleus, no IT'IS entry"
8,Putamen,Brain (Grey Matter),0.4190548817650446,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",judgement,0.06,0.83,0.002291,"deep grey nucleus, no IT'IS entry"
9,Cerebellum White Matter,Cerebellum,0.5766124444444444,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",judgement,0.48,0.646504,0.011022,"same single Cerebellum entry; MIDA splits it, IT'IS does not"
10,Brain Gray Matter,grey_matter,0.275,100.0,SimNIBS 4.6 default (head-modelling convention),lookup,,,0.110101,
11,Brainstem Midbrain,Midbrain,0.35,100.0,"IT'IS LF v4.2, DOI 10.13099/VIP21000-04-2, released 2024-06-04, downloaded 2026-08-02",lookup,0.35,0.35,0.001911,
12,Brain White Matter,white_matter,0.126,100.0,SimNIBS 4.6 default (head-modelling convention),lookup,,,0.116885,
