electrode,reported_calibration_pct,cut_flux_active,cut_flux_reference,recomputed_pct,mean_of_two
above_ear,,0.9463,-0.945769,0.0561,0.946035
buccal,,0.887025,-0.903768,1.87,0.895396
cg01,19.67,1.005466,-1.006892,0.1417,1.006179
cg02,,0.957926,-0.956648,0.1335,0.957287
cg03,13.99,0.981171,-0.980814,0.0364,0.980992
cg04,26.83,1.043115,-1.039671,0.3307,1.041393
cg05,,0.945233,-0.944811,0.0446,0.945022
cg06,15.57,0.98414,-0.988026,0.3941,0.986083
cg07,,0.961925,-0.957514,0.4596,0.959719
cg08,28.82,1.050796,-1.048759,0.194,1.049777
cg09,25.27,1.029567,-1.032525,0.2868,1.031046
cg10,11.9,0.967078,-0.971246,0.43,0.969162
earlobe_ipsi,17.03,0.988709,-0.994761,0.6102,0.991735
hyoid,,0.960617,-0.956929,0.3846,0.958773
mastoid,,0.941966,-0.936348,0.5982,0.939157
mental,32.99,1.074586,-1.068419,0.5756,1.071503
midjaw,,0.946119,-0.945495,0.066,0.945807
post_lobule,21.24,1.013432,-1.014022,0.0581,1.013727
pre_tragus,,0.920959,-0.922699,0.1887,0.921829
submaxillary,,0.943109,-0.93318,1.0584,0.938144
submental_lat,,0.959253,-0.95274,0.6813,0.955996
submental_mid,13.65,0.986423,-0.981951,0.4544,0.984187
