electrode,reported_calibration_pct,derived_interface_a_mA,derived_interface_b_mA,derived_ratio_a_over_b,per_interface_dev_pct,tetpatch_active_mA,tetpatch_minus_predicted_a
above_ear,,1.0,1.0,1.0,0.0,0.9463,-0.0537
buccal,,1.0,1.0,1.0,0.0,0.88702,-0.11298
cg01,19.67,1.09835,0.90165,1.218156,9.835,1.00547,-0.09288
cg02,,1.0,1.0,1.0,0.0,0.95793,-0.04207
cg03,13.99,1.06995,0.93005,1.150422,6.995,0.98117,-0.08878
cg04,26.83,1.13415,0.86585,1.309869,13.415,1.04311,-0.09104
cg05,,1.0,1.0,1.0,0.0,0.94523,-0.05477
cg06,15.57,1.07785,0.92215,1.168845,7.785,0.98414,-0.09371
cg07,,1.0,1.0,1.0,0.0,0.96193,-0.03807
cg08,28.82,1.1441,0.8559,1.336722,14.41,1.0508,-0.0933
cg09,25.27,1.12635,0.87365,1.289246,12.635,1.02957,-0.09678
cg10,11.9,1.0595,0.9405,1.126528,5.95,0.96708,-0.09242
earlobe_ipsi,17.03,1.08515,0.91485,1.186151,8.515,0.98871,-0.09644
hyoid,,1.0,1.0,1.0,0.0,0.96062,-0.03938
mastoid,,1.0,1.0,1.0,0.0,0.94197,-0.05803
mental,32.99,1.16495,0.83505,1.395066,16.495,1.07459,-0.09036
midjaw,,1.0,1.0,1.0,0.0,0.94612,-0.05388
post_lobule,21.24,1.1062,0.8938,1.237637,10.62,1.01343,-0.09277
pre_tragus,,1.0,1.0,1.0,0.0,0.92096,-0.07904
submaxillary,,1.0,1.0,1.0,0.0,0.94311,-0.05689
submental_lat,,1.0,1.0,1.0,0.0,0.95925,-0.04075
submental_mid,13.65,1.06825,0.93175,1.146499,6.825,0.98642,-0.08183
