label,voxels,volume_mm3,name
1,685256,85642.60744029284,Dura
2,679622,84938.47577224672,Cerebellum Gray Matter
3,893,111.60624415427446,Pineal Body
4,23372,2921.009113520384,Amygdala
5,40056,5006.1586963534355,Hippocampus
6,95915,11987.360479347408,CSF Ventricles
7,48799,6098.850065492094,Caudate Nucleus
8,77676,9707.868556469679,Putamen
9,373786,46715.399302855134,Cerebellum White Matter
10,3733664,466629.58115792274,Brain Gray Matter
11,64809,8099.763804472983,Brainstem Midbrain
12,3963711,495380.62443783134,Brain White Matter
13,46556,5818.522175639868,Spinal Cord
14,107816,13474.735520422459,Brainstem Pons
15,38885,4859.808291085064,Brainstem Medulla
16,7444,930.3436522781849,Nucleus Accumbens
17,23756,2969.00104829669,Globus Pallidus
18,1488,185.96874725818634,Optic Tract
19,3580,447.42480859160423,Hypophysis or Pituitary Gland
20,1273,159.09826294332743,Mammillary Body
21,7944,992.8331506848335,Hypothalamus
22,2844,355.44026693701744,Commissura (Anterior)
23,221,27.620358295738697,Commissura (Posterior)
24,105779,13220.153303913772,Blood Arteries
25,237687,29705.88281556219,Blood Veins
26,44092,5510.573927491903,Air Internal - Ethmoidal Sinus
27,24876,3108.977524727583,Air Internal - Frontal Sinus
28,97190,12146.708700284362,Air Internal - Maxillary Sinus
29,14327,1790.57408734411,Air Internal - Sphenoidal Sinus
30,11218,1402.0143862515688,Air Internal - Mastoid
31,349256,43649.66451102495,Air Internal - Nasal/Pharynx
32,1567769,195938.19685498625,CSF General
33,1537,192.0927181020379,Ear Cochlea
34,2745,343.067346252501,Ear Semicircular Canals
35,62785,7846.806314922869,Ear Auricular Cartilage (Pinna)
36,352480,44052.59679675102,Mandible
37,365222,45645.079174146056,Mucosa
38,1975307,246871.8872582838,Muscle (General)
39,86006,10748.943599924445,Nasal Septum (Cartilage)
40,1559358,194886.9985127896,Skull
41,152380,19044.29953441024,Teeth
42,521131,65130.42958831042,Tongue
43,3790255,473702.26756658405,Adipose Tissue
44,86916,10862.674487024546,Vertebra - C1 (atlas)
45,122394,15296.679335966706,Vertebra - C2 (axis)
46,66371,8294.980997495353,Vertebra - C3
47,62961,7868.8026183620095,Vertebra - C4
48,65619,8200.996791891754,Vertebra - C5
49,21186,2647.805026486516,Intervertebral Discs
50,46728774,5840115.296835288,Background
51,2021962,252702.78235460818,Epidermis/Dermis
52,883036,110360.95343002677,Skull Diploë
53,545872,68222.53494846821,Skull Inner Table
54,681103,85123.56966652721,Skull Outer Table
55,2245,280.5778478458524,Eye Lens
56,20505,2562.6943296566606,Eye Retina/Choroid/Sclera
57,103300,12910.330370813608,Eye Vitreous
58,2302,287.7016506642103,Eye Cornea
59,6591,823.7365679964423,Eye Aqueous
60,71614,8950.24587778747,Muscle - Platysma
61,326535,40810.016724430025,Tendon - Galea Aponeurotica
62,3306138,413197.810566321,Subcutaneous Adipose Tissue
63,972630,121558.32167051733,Muscle - Temporalis/Temporoparietalis
64,33176,4146.30319827795,Muscle - Occipitiofrontalis - Frontal Belly
65,138039,17251.975741110742,Muscle - Lateral Pterygoid
66,420716,52580.663623303175,Muscle - Masseter
67,289995,36243.28418087214,Muscle - Splenius Capitis
68,309236,38648.005058556795,Muscle - Sternocleidomastoid
69,44720,5589.060737490654,Muscle - Occipitiofrontalis - Occipital Belly
70,128915,16111.667374186218,Muscle - Trapezius
71,8962,1120.0617694407701,Muscle - Mentalis
72,47035,5878.387115113437,Muscle - Depressor Anguli Oris
73,23830,2978.249494060874,Muscle - Depressor Labii
74,17015,2126.517630778253,Muscle - Nasalis
75,87259,10905.542282931507,Muscle - Orbicularis Oris
76,3344,417.9297653436661,Muscles - Procerus
77,22561,2819.6511471047997,Muscle - Levator Labii Superioris
78,29725,3715.0006802752614,Muscle - Zygomaticus Major
79,79210,9899.586337581277,Muscle - Orbicularis Oculi
80,105788,13221.278114885092,Muscle - Levator Scapulae
81,157316,19661.195862680674,Muscle - Medial Pterygoid
82,6857,856.9809811487794,Muscle - Zygomaticus Minor
83,44110,5512.823549434543,Muscles - Risorius
84,70877,8858.13635713607,Muscle - Buccinator
85,11071,1383.642473720014,Ear Auditory Canal
86,9341,1167.4288092330098,Ear Pharyngotympanic Tube
87,9667,1208.1719621941447,Hyoid Bone
88,244107,30508.247975103557,Submandibular Gland
89,376636,47071.58944377303,Parotid Gland
90,39578,4946.418735876679,Sublingual Gland
91,9716,1214.2959330379963,Muscle - Superior Rectus
92,11809,1475.8769733682275,Muscle - Medial Rectus
93,10877,1359.3965483382344,Muscle - Lateral Rectus
94,8726,1090.566726192832,Muscle - Inferior Rectus
95,5508,688.3843144476414,Muscle - Superior Oblique
96,3608,450.92422050237656,Muscle - Inferior Oblique
97,170740,21338.913915902376,Air Internal - Oral Cavity
98,60904,7611.720821917057,Tendon - Temporalis Tendon
99,3196,399.4328738152981,Substantia Nigra
100,3547,443.3005016967654,Cerebral Peduncles
101,2866,358.18980486691,Optic Chiasm
102,1094,136.72702251374722,Cranial Nerve I - Olfactory
103,6124,765.3713764846325,Cranial Nerve II - Optic
104,1790,223.71240429580212,Cranial Nerve III - Oculomotor
105,2428,303.4490042626858,Cranial Nerve IV - Trochlear
106,3260,407.4315296113491,Cranial Nerve V - Trigeminal
107,2029,253.58238453418016,Cranial Nerve V2 - Maxillary Division
108,6022,752.6235188096762,Cranial Nerve V3 - Mandibular Division
109,1476,184.46899929642677,Cranial Nerve VI - Abducens
110,1327,165.84712877124548,Cranial Nerve VII - Facial
111,2917,364.56373370438814,Cranial Nerve VIII - Vestibulocochlear
112,2367,295.82528545707464,Cranial Nerve IX - Glossopharyngeal
113,2455,306.8234371766448,Cranial Nerve X - Vagus
114,464,57.990254521369934,Cranial Nerve XI - Accessory
115,134,16.747185572981834,Cranial Nerve XII - Hypoglossal
116,106710,13336.508749946952,Thalamus
