site,target_label,target_name,depth_to_target_mm,tissue_label,tissue,thickness_mm
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,12,Brain White Matter,35.0
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,11,Brainstem Midbrain,24.0
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,5,Hippocampus,8.0
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,63,Muscle - Temporalis/Temporoparietalis,6.0
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,10,Brain Gray Matter,6.0
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,32,CSF General,3.75
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,62,Subcutaneous Adipose Tissue,1.75
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,51,Epidermis/Dermis,1.5
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,40,Skull,1.5
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,24,Blood Arteries,1.5
above_ear,63,Muscle - Temporalis/Temporoparietalis,3.5,1,Dura,1.0
buccal,84,Muscle - Buccinator,10.78,42,Tongue,22.5
buccal,84,Muscle - Buccinator,10.78,43,Adipose Tissue,14.0
buccal,84,Muscle - Buccinator,10.78,36,Mandible,13.75
buccal,84,Muscle - Buccinator,10.78,90,Sublingual Gland,10.25
buccal,84,Muscle - Buccinator,10.78,62,Subcutaneous Adipose Tissue,8.75
buccal,84,Muscle - Buccinator,10.78,84,Muscle - Buccinator,8.0
buccal,84,Muscle - Buccinator,10.78,88,Submandibular Gland,7.5
buccal,84,Muscle - Buccinator,10.78,51,Epidermis/Dermis,2.0
buccal,84,Muscle - Buccinator,10.78,38,Muscle (General),2.0
buccal,84,Muscle - Buccinator,10.78,41,Teeth,1.25
hyoid,87,Hyoid Bone,19.68,42,Tongue,23.5
hyoid,87,Hyoid Bone,19.68,43,Adipose Tissue,20.75
hyoid,87,Hyoid Bone,19.68,38,Muscle (General),10.75
hyoid,87,Hyoid Bone,19.68,31,Air Internal - Nasal/Pharynx,10.75
hyoid,87,Hyoid Bone,19.68,97,Air Internal - Oral Cavity,7.75
hyoid,87,Hyoid Bone,19.68,87,Hyoid Bone,6.25
hyoid,87,Hyoid Bone,19.68,40,Skull,4.25
hyoid,87,Hyoid Bone,19.68,62,Subcutaneous Adipose Tissue,4.0
hyoid,87,Hyoid Bone,19.68,51,Epidermis/Dermis,1.5
hyoid,87,Hyoid Bone,19.68,37,Mucosa,0.5
mental,71,Muscle - Mentalis,10.4,43,Adipose Tissue,36.5
mental,71,Muscle - Mentalis,10.4,66,Muscle - Masseter,22.25
mental,71,Muscle - Mentalis,10.4,36,Mandible,9.0
mental,71,Muscle - Mentalis,10.4,84,Muscle - Buccinator,5.75
mental,71,Muscle - Mentalis,10.4,62,Subcutaneous Adipose Tissue,5.0
mental,71,Muscle - Mentalis,10.4,72,Muscle - Depressor Anguli Oris,3.25
mental,71,Muscle - Mentalis,10.4,73,Muscle - Depressor Labii,3.0
mental,71,Muscle - Mentalis,10.4,71,Muscle - Mentalis,2.75
mental,71,Muscle - Mentalis,10.4,51,Epidermis/Dermis,2.5
midjaw,66,Muscle - Masseter,11.01,43,Adipose Tissue,19.75
midjaw,66,Muscle - Masseter,11.01,63,Muscle - Temporalis/Temporoparietalis,19.0
midjaw,66,Muscle - Masseter,11.01,66,Muscle - Masseter,16.5
midjaw,66,Muscle - Masseter,11.01,40,Skull,9.75
midjaw,66,Muscle - Masseter,11.01,62,Subcutaneous Adipose Tissue,9.0
midjaw,66,Muscle - Masseter,11.01,29,Air Internal - Sphenoidal Sinus,8.5
midjaw,66,Muscle - Masseter,11.01,36,Mandible,3.75
midjaw,66,Muscle - Masseter,11.01,37,Mucosa,2.0
midjaw,66,Muscle - Masseter,11.01,51,Epidermis/Dermis,1.75
pre_tragus,66,Muscle - Masseter,7.84,63,Muscle - Temporalis/Temporoparietalis,28.75
pre_tragus,66,Muscle - Masseter,7.84,66,Muscle - Masseter,17.25
pre_tragus,66,Muscle - Masseter,7.84,42,Tongue,16.25
pre_tragus,66,Muscle - Masseter,7.84,43,Adipose Tissue,11.0
pre_tragus,66,Muscle - Masseter,7.84,62,Subcutaneous Adipose Tissue,5.5
pre_tragus,66,Muscle - Masseter,7.84,81,Muscle - Medial Pterygoid,4.25
pre_tragus,66,Muscle - Masseter,7.84,97,Air Internal - Oral Cavity,4.25
pre_tragus,66,Muscle - Masseter,7.84,51,Epidermis/Dermis,2.0
pre_tragus,66,Muscle - Masseter,7.84,36,Mandible,0.75
submaxillary,36,Mandible,6.04,42,Tongue,27.5
submaxillary,36,Mandible,6.04,36,Mandible,27.25
submaxillary,36,Mandible,6.04,37,Mucosa,10.5
submaxillary,36,Mandible,6.04,40,Skull,7.25
submaxillary,36,Mandible,6.04,31,Air Internal - Nasal/Pharynx,6.25
submaxillary,36,Mandible,6.04,62,Subcutaneous Adipose Tissue,2.75
submaxillary,36,Mandible,6.04,97,Air Internal - Oral Cavity,2.0
submaxillary,36,Mandible,6.04,39,Nasal Septum (Cartilage),2.0
submaxillary,36,Mandible,6.04,72,Muscle - Depressor Anguli Oris,1.75
submaxillary,36,Mandible,6.04,51,Epidermis/Dermis,1.5
submaxillary,36,Mandible,6.04,43,Adipose Tissue,1.25
submental_lat,36,Mandible,5.0,41,Teeth,17.0
submental_lat,36,Mandible,5.0,40,Skull,17.0
submental_lat,36,Mandible,5.0,42,Tongue,16.0
submental_lat,36,Mandible,5.0,37,Mucosa,15.0
submental_lat,36,Mandible,5.0,36,Mandible,11.0
submental_lat,36,Mandible,5.0,97,Air Internal - Oral Cavity,4.5
submental_lat,36,Mandible,5.0,31,Air Internal - Nasal/Pharynx,4.5
submental_lat,36,Mandible,5.0,60,Muscle - Platysma,2.0
submental_lat,36,Mandible,5.0,51,Epidermis/Dermis,1.5
submental_lat,36,Mandible,5.0,62,Subcutaneous Adipose Tissue,1.5
