compartment,truncated_V_per_m,muscle_iso_V_per_m,muscle_iso_dB,fat_muscle_blend_V_per_m,fat_muscle_blend_dB
masseter,0.21753315544617172,0.24841073000679662,1.153,0.2464352160401095,1.084
temporalis,0.10773241080167187,0.16992843198831775,3.958,0.16804165884590322,3.861
medial_pterygoid,0.37273639805695197,0.40809424457416466,0.787,0.40321367401981206,0.683
lateral_pterygoid,0.18623956350799217,0.2386206383934758,2.153,0.23568710649190333,2.045
orbicularis_oris,0.24384199957846173,0.2106595134178763,-1.271,0.20861392859446357,-1.355
buccinator,0.3245558512697266,0.2510988197824502,-2.229,0.24791390393556118,-2.34
mentalis,0.35314772800146765,0.1848461831578979,-5.623,0.18251951537083655,-5.733
depressor_anguli_oris,0.539748211351476,0.2640037501828387,-6.212,0.26088928169791503,-6.315
platysma,0.7012828075098441,0.6628922254943326,-0.489,0.6533169795324519,-0.615
sternocleidomastoid,0.2614722217807565,0.708623942197576,8.66,0.7010186578490931,8.566
