compartment,electrode,baseline_V_per_m,b_generic_dB,c1_all_low_dB,c2_all_high_dB,d_airvoids_filled_dB,envelope_dB
buccinator,hyoid,5.573151163518507,-4.0377,4.3542,-1.5644,43.3473,43.3473
buccinator,submental_mid,60.5191499790773,-19.9633,-15.9253,-36.4487,1.3106,36.4487
buccinator,mastoid,12.92106572770653,0.81,-15.6674,12.3488,1.6894,15.6674
buccinator,above_ear,12.200611916539088,-17.8664,2.017,-4.1161,-3.8577,17.8664
depressor_anguli_oris,hyoid,5.5409609797079264,-2.1532,5.9735,1.479,43.6863,43.6863
depressor_anguli_oris,submental_mid,169.1585399690579,-25.5732,-24.1923,-41.9676,-18.0132,41.9676
depressor_anguli_oris,mastoid,17.017335783063764,-6.9972,-14.6623,14.861,-4.6506,14.861
depressor_anguli_oris,above_ear,12.663652774280255,-21.2458,3.4453,0.9407,-3.2256,21.2458
lateral_pterygoid,hyoid,2.8016717282251125,-1.4012,5.5275,1.0696,45.437,45.437
lateral_pterygoid,submental_mid,69.05739224541406,-19.2006,-27.3014,-39.7472,-2.0205,39.7472
lateral_pterygoid,mastoid,6.715749548227608,7.4012,-16.1721,16.8913,7.1982,16.8913
lateral_pterygoid,above_ear,5.708959032294355,-6.8675,0.8583,0.3756,2.4116,6.8675
masseter,hyoid,3.6540689282162835,-2.307,3.4306,-1.32,45.6949,45.6949
masseter,submental_mid,53.23769248366743,-17.1923,-22.4563,-36.311,-0.1485,36.311
masseter,mastoid,9.37746171883228,4.9355,-15.4998,15.3723,4.2465,15.4998
masseter,above_ear,7.514593230154723,-9.9718,2.4497,-1.161,0.7397,9.9718
medial_pterygoid,hyoid,4.765318130810151,-4.019,4.4669,-0.366,43.9088,43.9088
medial_pterygoid,submental_mid,88.44300291980002,-19.4309,-28.4016,-39.1638,-3.4103,39.1638
medial_pterygoid,mastoid,10.898530966062337,1.2863,-18.2873,17.1167,0.1333,18.2873
medial_pterygoid,above_ear,8.503163865262705,-12.0061,-0.1332,1.1794,2.423,12.0061
mentalis,hyoid,3.953498916415444,-2.9676,3.0453,3.5336,43.6212,43.6212
mentalis,submental_mid,160.86501143628323,-30.3667,-29.7972,-47.4605,-20.7565,47.4605
mentalis,mastoid,14.528570933565677,-5.1641,-18.1002,15.4399,-4.0923,18.1002
mentalis,above_ear,10.83380024756724,-19.6763,-1.3255,1.7307,-4.7905,19.6763
orbicularis_oris,hyoid,5.860777886299943,-4.6959,4.3548,-4.1305,44.8963,44.8963
orbicularis_oris,submental_mid,124.27832083425152,-23.2129,-24.0417,-38.704,-12.6907,38.704
orbicularis_oris,mastoid,13.488269046626018,-2.7619,-15.0353,19.1659,-7.5148,19.1659
orbicularis_oris,above_ear,14.820867354765102,-19.4043,0.562,0.3759,0.8788,19.4043
platysma,hyoid,6.1424097099149195,-0.6602,3.13,-3.8011,44.3053,44.3053
platysma,submental_mid,116.60025226307692,-24.0041,-22.9366,-38.6826,-8.8957,38.6826
platysma,mastoid,13.544953090173426,-4.9285,-15.4927,10.1772,-1.6752,15.4927
platysma,above_ear,9.981966167258912,-16.5124,4.499,-3.3427,-2.0453,16.5124
sternocleidomastoid,hyoid,4.054563060395889,-2.2666,-1.8864,2.5778,41.0021,41.0021
sternocleidomastoid,submental_mid,82.09738059656881,-26.5297,-27.2635,-34.7661,-4.1343,34.7661
sternocleidomastoid,mastoid,7.481403421849822,7.8415,-11.4124,13.5639,6.289,13.5639
sternocleidomastoid,above_ear,6.149700838968817,-7.472,3.8927,-3.4585,-1.71,7.472
temporalis,hyoid,5.497554731241267,-5.4121,3.8691,0.8055,39.9717,39.9717
temporalis,submental_mid,97.47503128233662,-19.1035,-25.0611,-34.9532,-5.1586,34.9532
temporalis,mastoid,8.864838011590665,6.1913,-10.137,16.2932,3.8492,16.2932
temporalis,above_ear,8.62007225550054,-10.4703,4.2693,-0.9868,-2.3597,10.4703
