electrode,condition,masseter,temporalis,medial_pterygoid,lateral_pterygoid,orbicularis_oris,buccinator,mentalis,depressor_anguli_oris,platysma,sternocleidomastoid
above_ear,fat_as_muscle,0.1702182083001583,0.21249332953283379,0.16124399954620838,0.20347922059163256,0.13307936921383728,0.11506201761893821,0.10116169205626631,0.11534771926936231,0.09681570892640833,0.11141863096219415
buccal,fat_as_muscle,0.2857165517933195,0.09606730579377122,0.20224819965947227,0.1649364922981683,0.3930068137631343,0.36400592239646284,0.5690457806351845,0.4457692828961151,0.31877941092201983,0.12209617489260934
cg01,fat_as_muscle,0.19904470178259648,0.2707921443973999,0.1813355686899253,0.23963128485223484,0.15521790297962965,0.1317814644922182,0.11638867790641613,0.13230113638517052,0.10805920167600344,0.11552904699710784
cg02,fat_as_muscle,0.16867402883162705,0.21589590244909038,0.16041481931254797,0.2021948137090011,0.1327537680664257,0.11472407828385345,0.10062264821065796,0.1147218060648423,0.09623689461814877,0.1096272908127741
cg03,fat_as_muscle,0.15547927831067854,0.1922338757778673,0.15636904245717628,0.18850753894683117,0.12576383623820922,0.10822910633206508,0.09612346866212737,0.10846902058151665,0.09470394975358559,0.11378204674540882
cg04,fat_as_muscle,0.15974356036229767,0.17799499172537184,0.1690013927160854,0.19619131830784534,0.13114184583226446,0.11194606413856516,0.10204241550565389,0.11367253934846269,0.10292637037903964,0.13239806211363014
cg05,fat_as_muscle,0.1430908362044346,0.14129291725324075,0.15711545551944894,0.1758940782239054,0.11755841023806024,0.09920587848663504,0.09294420860854843,0.10254319996294066,0.09666504078079602,0.1310446229716229
cg06,fat_as_muscle,0.16296706844596562,0.1353131456855935,0.173709882491843,0.18732832165403623,0.12637783398757815,0.10657467476779894,0.10191130647288457,0.11100906831368494,0.10913116280207241,0.15562108771620645
cg07,fat_as_muscle,0.1829007389261727,0.12631167279422129,0.18515533780673912,0.1967527849551808,0.13145746892621527,0.11232578899830423,0.10745943044916491,0.1173865479598495,0.11758825294182529,0.1722327308723602
cg08,fat_as_muscle,0.23519536276108674,0.14215197883580058,0.22024931914755014,0.24262228359778423,0.15943310782566772,0.13882514426244402,0.13120897269321016,0.14581422686194503,0.14312604827154882,0.20481258070064803
cg09,fat_as_muscle,0.2641172878603953,0.14759726406226956,0.22750993206233483,0.2600457984441044,0.1732545985698246,0.1524873155695833,0.14278520075148435,0.1595205873560364,0.15082522998922476,0.20239145579401327
cg10,fat_as_muscle,0.2901975150901499,0.158596745865803,0.22399848939205985,0.26927561094385233,0.1885389990935642,0.16216699950149727,0.15447902852152962,0.17236956964008332,0.15011109129177375,0.1749111056859202
earlobe_ipsi,fat_as_muscle,0.2648245158024325,0.15353642387811736,0.22295339580663148,0.26467127334283347,0.17367410318648818,0.15197494881405207,0.14153110292727,0.1585224861531593,0.14423862116187303,0.1844798345348941
hyoid,fat_as_muscle,0.18583412354519194,0.06843956387208373,0.30352478604891336,0.1495789277804812,0.17399671272966208,0.18550545820722547,0.21613471807692916,0.30597355431067,0.4977071307293189,0.15081465825493892
mastoid,fat_as_muscle,0.18283832771936623,0.13710332511799228,0.18270284886662802,0.2049436567432161,0.13124784807603115,0.11325770812722583,0.10544049545951983,0.11683491104969819,0.1116733719700739,0.15499387843009707
mental,fat_as_muscle,0.3123532112575987,0.08892865058925016,0.2164365839961744,0.16547235902618215,0.7589018166219706,0.5472525596539778,1.608851630421141,0.9930254796893961,0.3819311180542663,0.10280796313113567
midjaw,fat_as_muscle,0.3421890777429522,0.15902910583306784,0.2205955995671372,0.2782375088671239,0.2588083539519513,0.19458297308336842,0.222547248642613,0.2285328019617535,0.17724611226101594,0.14832289630194728
post_lobule,fat_as_muscle,0.2289771449283446,0.13751705109654613,0.21354914287526233,0.23539656703383086,0.15493209224666052,0.1350824655738594,0.1276151995913197,0.14180349165450548,0.1392195831592911,0.1991816271135037
pre_tragus,fat_as_muscle,0.25561515051785233,0.233509136240183,0.19741559031936332,0.28382851148023497,0.18282324934230562,0.14667313607363508,0.13958960905360818,0.1519096637548773,0.12237313267774504,0.1218156147120834
submaxillary,fat_as_muscle,0.2653133915944007,0.08826408412071776,0.24110803758913038,0.16143524525073216,0.3295669676823964,0.3406919602551558,0.5087499469409102,0.47879240925132155,0.4082730554462434,0.13215098524889382
submental_lat,fat_as_muscle,0.2566803624397116,0.08042748991459912,0.23482360070695474,0.15266192196383707,0.5111914242244853,0.4418539018764113,1.1363888145072758,0.8229070056642958,0.4236574674739548,0.10586449922372931
submental_mid,fat_as_muscle,0.2604883660522703,0.07665838339806828,0.2407540819918359,0.14843823777269188,0.5611135486758704,0.45498512386348444,1.3414149807955398,0.8928602087395813,0.4097744530024045,0.10173358877147741
