electrode,condition,masseter,temporalis,medial_pterygoid,lateral_pterygoid,orbicularis_oris,buccinator,mentalis,depressor_anguli_oris,platysma,sternocleidomastoid
above_ear,homog_scalp,0.0833574439947456,0.09260926233586778,0.07787648630970907,0.09509234433247354,0.060393814938635264,0.05123735216164091,0.04748866929855632,0.05930716236833516,0.04211409560655119,0.04383881578534637
buccal,homog_scalp,0.11679983449596822,0.04471135225319489,0.09588137961952317,0.07901969187779717,0.16625097106845332,0.1256743930237026,0.24243656343221542,0.17429467267816262,0.1374520803228238,0.05978337138494497
cg01,homog_scalp,0.10021389981154587,0.10892188177668428,0.08551647808177548,0.11314112366424231,0.07048082955674057,0.05925783574513427,0.05438744864807714,0.06705887412569461,0.04612537174171098,0.04505572745743542
cg02,homog_scalp,0.08200838448645364,0.09421960973719341,0.07739773218572846,0.09395914589437263,0.06014513736990748,0.05104760583570725,0.046858070975173874,0.058833533281289215,0.04196292442405143,0.043406589736119466
cg03,homog_scalp,0.07364317593588103,0.0865314858662555,0.07632459747873258,0.08572291714419428,0.05687218330633563,0.04816496994951294,0.0448803301707702,0.05645385804825552,0.04018665008484159,0.0457875166256807
cg04,homog_scalp,0.07394104457145295,0.0824628813217686,0.08185271960877763,0.08891246628777086,0.05929484132063434,0.049160716149401935,0.047867655781641094,0.059347753908192566,0.04361342758828632,0.053614804991760086
cg05,homog_scalp,0.06396550462578504,0.06623145205387401,0.07488269123674748,0.07783526293591028,0.052735297259562317,0.04329875876075384,0.04381026075216479,0.0536257282240884,0.040747936484735216,0.05348440750905017
cg06,homog_scalp,0.06961890612740676,0.06315302433589809,0.08158909415182272,0.08351478045077339,0.05680899377996994,0.04543381017192569,0.04772804980349733,0.05894553414040672,0.045027724982197925,0.0630073853237775
cg07,homog_scalp,0.07724373609720198,0.05802491343356671,0.0845070401328992,0.08596941352266621,0.0589080978248101,0.04716805668521365,0.049599418518108535,0.06162254969358816,0.04840568936511738,0.06813510729247335
cg08,homog_scalp,0.10098976872992271,0.06418410178894718,0.09831217010869261,0.10208066575028582,0.07185230988778923,0.059337142587289164,0.060595724241164134,0.07575867687982232,0.05950279916262818,0.07988916189285411
cg09,homog_scalp,0.1137492549558571,0.06695408557899059,0.10043910243386314,0.11050822160589671,0.07804639024942743,0.06572193401166242,0.06599242022836196,0.08251009900414819,0.0634770068180312,0.07647957648800577
cg10,homog_scalp,0.12486057253136475,0.07067982303746012,0.09783268358514119,0.123367566954354,0.08486635045566492,0.07058674010633095,0.0704739831045221,0.08735716705752222,0.06397208871393784,0.06505655220052642
earlobe_ipsi,homog_scalp,0.11447795836551136,0.07019761337038895,0.09860651718188396,0.11627593342254214,0.07798579566660568,0.06539489181821083,0.06577057243969964,0.08196630004866058,0.060721136852348895,0.06857413821111408
hyoid,homog_scalp,0.07626383279441351,0.0298400729388016,0.1282857788857143,0.05927522071031195,0.07096435150754751,0.08067480016230297,0.09810676220598008,0.13668381709208244,0.20787315164256728,0.06038071070869906
mastoid,homog_scalp,0.07931152856127319,0.06489437837201018,0.08489035566200032,0.08963218680268074,0.05957812566352368,0.048493222485837706,0.04960077267564941,0.061198038952627785,0.04650163885395137,0.060769403716351866
mental,homog_scalp,0.12997681316939563,0.04115248015800515,0.10693153280596043,0.06905289666134606,0.2947610752583851,0.195931387191266,0.6895117741948584,0.45038642334600687,0.17510764524353992,0.049474509077174156
midjaw,homog_scalp,0.1337369190598001,0.06652190919912083,0.09258174553371648,0.12715572848752021,0.11610295957228856,0.08653598141062392,0.0990987290314718,0.1146052027912497,0.07721839288743054,0.06150491854742028
post_lobule,homog_scalp,0.09858934585619447,0.06225802968744539,0.09550221576806914,0.09887627495454254,0.0698566086039796,0.05773237056066509,0.05892784021009382,0.07371648861598258,0.05782758117697955,0.07726536526839972
pre_tragus,homog_scalp,0.11914166567486009,0.08975552965529815,0.08955134595161693,0.13005837638620726,0.08321445315247102,0.06556615944743069,0.063707434867303,0.07744982917687096,0.05238211344568243,0.04641139676954903
submaxillary,homog_scalp,0.11056236401037234,0.04001357215147335,0.11335867776971752,0.07114649633565076,0.13826588569684328,0.1252324205012695,0.22162123892421925,0.19683560351925428,0.17991507267761275,0.0653376917921818
submental_lat,homog_scalp,0.10955601523054787,0.03692578802531828,0.10839561707587542,0.06481469900154374,0.20084374474750705,0.1592846403223791,0.5140952208817329,0.3581779103705397,0.17511422212125155,0.051203840356993144
submental_mid,homog_scalp,0.10882490694109205,0.034592552403183305,0.10969990914176989,0.06136005355461793,0.21040084676633541,0.15893400006929803,0.5467863482445334,0.42422726638597996,0.18245088462093118,0.04831073424011265
