electrode,condition,montage,side,depth_mm,clearance_to_cut_mm,calibration_pct,inv1_mean,inv1_cv,inv2_net_frac,masseter,temporalis,medial_pterygoid,lateral_pterygoid,orbicularis_oris,buccinator,mentalis,depressor_anguli_oris,platysma,sternocleidomastoid
above_ear,iso,ear,right,,129.81,,0.9463,0.00529,-2.9e-05,0.20909588503373064,0.29269977129106384,0.21132652242465472,0.21078010077724846,0.1813308094763946,0.19966065152744597,0.08897636283855717,0.15075279537746192,0.15325700687715788,0.1685953690231845
buccal,iso,jaw,right,10.78,37.84,,0.88702,0.01533,-0.002309,0.35369565267643566,0.1471772076384446,0.2567363614586443,0.17792837938043315,0.5721206264944815,0.6572532945305644,0.549707720399676,0.6474941426504339,0.5615641769896715,0.19296571820162742
cg01,iso,ceegrid,right,,129.88,19.67,1.00547,0.00378,-3.1e-05,0.24671238333424528,0.3514178172482812,0.2406268147983869,0.24107946170265263,0.20732370988108506,0.22346380031096172,0.10207086775983322,0.16929376756187184,0.17150660104257648,0.17354746557966858
cg02,iso,ceegrid,right,,133.31,,0.95793,0.00691,-3e-05,0.20874771288584662,0.29972340574457657,0.2107979025182509,0.2091786549142286,0.18123864560603503,0.1981221443521955,0.0888236658950028,0.15038409822030246,0.1523412876326624,0.16578317746446602
cg03,iso,ceegrid,right,,132.99,13.99,0.98117,0.00571,-2.1e-05,0.19060400125246724,0.26597077145744025,0.202936893312763,0.1955094289058936,0.17538699143004488,0.1930931117758304,0.08587408453678752,0.14633668761135102,0.149611594355365,0.1741974054510319
cg04,iso,ceegrid,right,,121.4,26.83,1.04311,0.00867,1.9e-05,0.190914618303274,0.24925310797357286,0.21619081178183797,0.19788358805449216,0.1846922254226724,0.2074600562719349,0.09017653432925786,0.1549357007229648,0.16254673816738607,0.2070363099136629
cg05,iso,ceegrid,right,,109.7,,0.94523,0.0057,0.000124,0.17445311508389397,0.20320456498012157,0.2014866420513055,0.17037384472217976,0.16665848141867715,0.19214885710345753,0.08195871905699849,0.14066190345514634,0.15399788277696264,0.21278052654962423
cg06,iso,ceegrid,right,,96.27,15.57,0.98414,0.00802,0.000238,0.2030694709692708,0.19480302657655427,0.22340459421396483,0.17452452573770422,0.18018359184581031,0.21432727416051506,0.09001301048482664,0.15183284658898843,0.17802343403826992,0.2604699385462637
cg07,iso,ceegrid,right,,84.11,,0.96193,0.01323,0.00021,0.22738432349678162,0.18208068267329597,0.2385736344298376,0.17330073137800855,0.18734404942632873,0.2299868244750665,0.09572930571225348,0.15957083178467268,0.19497408240520409,0.29528962654005547
cg08,iso,ceegrid,right,,76.17,28.82,1.0508,0.00835,0.00015,0.27600999269167364,0.20428860679082364,0.28744149565907406,0.2000776941848312,0.22593655209624094,0.2858786635833124,0.11824494179806463,0.20023843077549933,0.2394080227872384,0.3497822586039121
