electrode,condition,n_tensor_compartments,masseter,temporalis,medial_pterygoid,lateral_pterygoid,orbicularis_oris,buccinator,mentalis,depressor_anguli_oris,platysma,sternocleidomastoid
above_ear,aniso,2,0.21675007143343522,0.29833046747695385,0.3960952089630883,0.19832026222832994,0.18728794643716234,0.2070400260367879,0.09193241435652628,0.1556608579630311,0.15759207419640317,0.2879558518950655
buccal,aniso,2,0.3686716259331548,0.15173415584712835,0.5043625846172143,0.17686289464604726,0.5849897196102772,0.6626334424076566,0.5596579458032814,0.6614375594886135,0.5641595008734328,0.33295955834015584
cg01,aniso,2,0.2556499707176817,0.3573851510134856,0.4460998527579451,0.22888935503130545,0.21423371467594965,0.23207853395467062,0.10564275400627694,0.17519699569064662,0.17587690586945912,0.30616770897967177
cg02,aniso,2,0.2157832690783621,0.30539239409932767,0.3969438148877504,0.19675372756524936,0.18714885040067275,0.20578003956833377,0.09184728929362528,0.15524109042966874,0.15680877350899544,0.28837318181920385
cg03,aniso,2,0.1975384305215129,0.2733509980948211,0.38852674142175914,0.1845371314850399,0.1809789538494462,0.2014066043765002,0.08861146059762666,0.15153295127305272,0.1540327471339239,0.3052032588633736
cg04,aniso,2,0.20051279398990451,0.25649737365922937,0.414196773626806,0.18861729010056547,0.19076476301503537,0.216772416618718,0.09315494037634557,0.1611833347449947,0.16722270706791625,0.3564648198081517
cg05,aniso,2,0.18450712078995035,0.20929441639039872,0.38097949637022016,0.16270701097382415,0.17196673163082807,0.20013428742202813,0.08441362058929455,0.14584248364110775,0.15783997157707416,0.3580924797901878
cg06,aniso,2,0.21440103873272726,0.20128860050272365,0.41165135868058034,0.1684156996172636,0.18611612122922297,0.22257052653335704,0.09251683894626182,0.15800191247650267,0.18118230323156267,0.4224150672068925
cg07,aniso,2,0.23854006109330617,0.1885115466509653,0.42802843093836707,0.1679785361241264,0.19399266436926643,0.23877730679745332,0.09837050284147959,0.16678867719085502,0.1984242726050645,0.4697666050006963
cg08,aniso,2,0.28981210862932044,0.21276468022152922,0.5125194753287315,0.19934862694670352,0.23511386791121638,0.29967614158749817,0.12219243137333707,0.20966092761819266,0.2475718882610525,0.5492027142948911
cg09,aniso,2,0.3030136628698447,0.2198612356552314,0.5396518899820675,0.21434319096200635,0.25579406985488046,0.32437295814343803,0.13410920253883318,0.23529924645046413,0.26490814724344625,0.5323453885052392
cg10,aniso,2,0.30363011057288053,0.2323861196882964,0.54834034179704,0.23204793475174518,0.2763217006452565,0.33901428391372546,0.1447732058734501,0.24679567567539176,0.26661150877129797,0.45106214031017766
earlobe_ipsi,aniso,2,0.2921840122609174,0.22037709792404342,0.5327412469235707,0.22600145220899123,0.2541451395928191,0.3185027736245721,0.1317483490744546,0.23041290448967544,0.25248639456422817,0.47496780740183914
hyoid,aniso,2,0.22865811274673908,0.11025438940108448,0.6666901507940792,0.18309597440652406,0.2522444228822624,0.34118772016585136,0.36442524676830174,0.5573882254478278,0.7307792380579684,0.3586431787792309
mastoid,aniso,2,0.2290076189557125,0.19894695542402235,0.42237649077310224,0.17583750303657875,0.19187957723391386,0.23400203667231942,0.09557719146950937,0.16512163296648508,0.1856117674367437,0.40756485229152406
mental,aniso,2,0.4041211408176854,0.14471330165752788,0.5872401574678142,0.20346965419687066,0.8949197256993556,1.1170043804706933,1.9557630060078532,1.4565372987312026,0.7611983760220005,0.3224968124499949
midjaw,aniso,2,0.3481950210786789,0.23044519563638172,0.5419128400115311,0.20678896098477606,0.40063904161626995,0.3585852891867822,0.21948045835261587,0.3257673868074063,0.3358469282986484,0.39912618947866485
post_lobule,aniso,2,0.28120277607045785,0.20560854871229664,0.4974025587556287,0.19314662429966745,0.2284244662741818,0.29147749582299276,0.11886572161426236,0.20420865967148774,0.24114334947752794,0.5330110372027718
pre_tragus,aniso,2,0.29733893949615625,0.29809180912166466,0.4942832788805063,0.2530138496082141,0.25677235599038567,0.2866868541988264,0.12899271795904368,0.20582181910714914,0.209068909556041,0.31981456621589305
submaxillary,aniso,2,0.35127665934913166,0.14153590275838396,0.5858298299650343,0.18648768541976077,0.5320011828432479,0.6496375045538214,0.5884832876388368,0.8214536958313372,0.7015506015449389,0.3494493246121085
submental_lat,aniso,2,0.3310512329695349,0.13099624077765226,0.5822326124695697,0.1829072604648008,0.72352472637639,0.9130816170282895,1.3417351681326894,1.254007996537197,0.8650759637913912,0.31063400049117534
submental_mid,aniso,2,0.3423076910385205,0.12638199172508263,0.5942110999122852,0.1846532169778046,0.7297775317046836,0.9215135073194902,1.7584075920848674,1.4487030373176728,0.8136044693345647,0.3100989942392371
