electrode,condition,n_tensor_compartments,masseter,temporalis,medial_pterygoid,lateral_pterygoid,orbicularis_oris,buccinator,mentalis,depressor_anguli_oris,platysma,sternocleidomastoid
above_ear,aniso,2,0.10495797765162972,0.1365344906931935,0.17878923005011146,0.09621589813583001,0.08492981893564944,0.10339076164416454,0.04573611100921237,0.07928020301851232,0.06627586462977025,0.13573626400736005
buccal,aniso,2,0.16249635853927885,0.07285368454072685,0.22170449266080924,0.07908509503098626,0.2609380228297887,0.2960819261896247,0.2802380570044207,0.2958047158710548,0.2516440217181841,0.15730788919304442
cg01,aniso,2,0.1245098988696631,0.15871267124710425,0.1989056605166785,0.10950650893146524,0.09793486122688468,0.11810217744356971,0.05236651895073666,0.09043127368617213,0.07394659521318947,0.1442723030244625
cg02,aniso,2,0.10436442797208201,0.13835802062411662,0.1790685553308622,0.09518449802354877,0.08504570704844103,0.10301746963252845,0.04619260741435924,0.07948667360892486,0.06580653101046827,0.1361919066181671
cg03,aniso,2,0.09416657521765537,0.1323339887823028,0.17784321343994342,0.08899540124660582,0.0818944256816401,0.09937146026909541,0.04439213469564716,0.07665855105036261,0.06497408011251077,0.1426712426611868
cg04,aniso,2,0.0948570231221853,0.12548825135776054,0.1932500597525615,0.09117567678996474,0.08607180812610093,0.10510196515851306,0.0476094122221905,0.08163200772854283,0.07057175837253671,0.16437841784698287
cg05,aniso,2,0.08402736434063418,0.09950994568767862,0.17860287307002704,0.07805833421546929,0.07700204442025704,0.09519728939109734,0.04377711167269081,0.07449150321551297,0.06754433556000741,0.16180153923319707
cg06,aniso,2,0.09195586482004867,0.09598387459172783,0.19289298261668053,0.0812931742135802,0.08435587417814575,0.10359501820802142,0.04854605486885512,0.08305821543178438,0.07651109350334319,0.1797450620352255
cg07,aniso,2,0.1043167047186519,0.08950688971680817,0.20100548672754404,0.08540804478411326,0.08898492782238782,0.10932436081859281,0.05149701129574779,0.08948701580929481,0.0830156538975314,0.1890377083500459
cg08,aniso,2,0.1341393939347706,0.09865429292325187,0.24069517161509202,0.10251823721032793,0.11043166861401663,0.13598073493787893,0.06379161286150575,0.11181091732686721,0.10173656538506942,0.22203954184083854
cg09,aniso,2,0.14420979979570953,0.1030607061481712,0.2505898336728084,0.10853790811550942,0.11953955391366833,0.15050761584221917,0.06985682419643544,0.12194803573067363,0.10954054520964789,0.22034337072353857
cg10,aniso,2,0.1399413100936877,0.11104494529238826,0.24716718650700925,0.11128909717909807,0.1307154743484784,0.15886418884079254,0.07427482622487477,0.12975187705621,0.11586584458162107,0.19573484218942397
earlobe_ipsi,aniso,2,0.13795207109211233,0.10642431799315294,0.24731234273359165,0.11154562832929252,0.1200543097271296,0.14858751222114364,0.06836477668329533,0.12005751385517802,0.10733348044010803,0.20446047848357754
hyoid,aniso,2,0.11690826349459148,0.05021486379869793,0.3048059932842822,0.08904908608400394,0.10521409184568209,0.15586383659363703,0.16712060298827347,0.2263864774578443,0.36093958722063557,0.16821773366949638
mastoid,aniso,2,0.10199101955106606,0.09709751962781335,0.19905491720506896,0.08871501494572534,0.08806251940902396,0.10920884478155599,0.04995337877164577,0.08652783979044634,0.07801794365295378,0.17601409076112934
mental,aniso,2,0.17905627217765147,0.07062842120909416,0.26268762860864264,0.08959996551625442,0.3545648589308902,0.47540226127454466,0.9082655896105409,0.6441917422387823,0.34333139846103294,0.15214646444327384
midjaw,aniso,2,0.15448579352490852,0.1093720650742076,0.23353914546128807,0.10111138995401164,0.1884592065454851,0.17335124482102132,0.11048346828383368,0.17275928108199268,0.14702134601608208,0.18120378672591242
post_lobule,aniso,2,0.1305167208115034,0.09553890962654296,0.2338844222599555,0.09950375147859628,0.10708814732615471,0.13211568256711503,0.06211627694784433,0.10895925542019905,0.09896014425402047,0.21512128964761346
pre_tragus,aniso,2,0.1490765526848324,0.12833295371651038,0.21477889278048895,0.11793513630559244,0.11949895203474117,0.1382617614551453,0.06345363836402126,0.10936174866459,0.09079502066090928,0.14768692735238803
submaxillary,aniso,2,0.154158766263703,0.0670316327996019,0.26609933349156123,0.0871630606963828,0.2181491763703549,0.2902364921282915,0.27548145413886804,0.35697166593208873,0.3199470351994931,0.16710018681537514
submental_lat,aniso,2,0.1567499622950823,0.0629076105056519,0.26533467319560544,0.08507486622392568,0.2737517617554873,0.38650907660094236,0.6292941711867347,0.5595192326085061,0.3377183348015553,0.14557784211066266
submental_mid,aniso,2,0.15409935394179108,0.06149324869677783,0.2691088708458459,0.08702991560429034,0.27318358337888216,0.40074415009488606,0.8106775736268548,0.601554268319695,0.3481904144620791,0.14315374106338552
