muscle,gap_all_jaw_dB,gap_far_jaw_dB,change_dB,resolvable,sign_preserved,favours,survives_exclusion
masseter,2.526,2.526,0.0,True,True,jaw,True
temporalis,-3.923,-3.923,0.0,True,True,ear,True
medial_pterygoid,1.95,0.62,-1.329,True,True,jaw,True
lateral_pterygoid,-1.692,-1.692,0.0,True,True,ear,True
orbicularis_oris,10.369,10.369,0.0,True,True,jaw,True
buccinator,10.568,10.568,0.0,True,True,jaw,True
mentalis,22.78,22.78,0.0,True,True,jaw,True
depressor_anguli_oris,15.545,15.545,0.0,True,True,jaw,True
platysma,10.471,9.287,-1.184,True,True,jaw,True
sternocleidomastoid,-2.527,-3.409,-0.881,True,True,ear,True
