muscle,gap_all_jaw_dB,gap_far_jaw_dB,change_dB,resolvable,sign_preserved,favours,survives_exclusion
masseter,1.089,1.089,0.0,True,True,jaw,True
temporalis,-2.779,-2.779,0.0,True,True,ear,True
medial_pterygoid,1.42,0.54,-0.879,True,True,jaw,True
lateral_pterygoid,-1.491,-1.491,0.0,True,True,ear,True
orbicularis_oris,7.946,7.946,0.0,True,True,jaw,True
buccinator,9.055,9.055,0.0,True,True,jaw,True
mentalis,20.983,20.983,0.0,True,True,jaw,True
depressor_anguli_oris,13.319,13.171,-0.147,True,True,jaw,True
platysma,9.915,9.168,-0.747,True,True,jaw,True
sternocleidomastoid,-1.79,-2.332,-0.543,True,True,ear,True
