electrode,montage,clearance_to_cut_mm,masseter,temporalis,medial_pterygoid,lateral_pterygoid,orbicularis_oris,buccinator,mentalis,depressor_anguli_oris,platysma,sternocleidomastoid
above_ear,ear,129.81,-4.43,1.988,-3.5,-0.26,-11.418,-12.569,-24.951,-17.395,-14.413,-3.291
buccal,jaw,37.84,0.0,-3.008,-1.942,-2.21,-1.019,-2.563,-8.545,-5.271,-2.212,-1.417
cg01,ceegrid,129.88,-3.445,2.779,-3.031,0.286,-10.723,-11.987,-24.332,-16.776,-14.021,-3.7
cg02,ceegrid,133.31,-4.559,2.066,-3.64,-0.391,-11.504,-12.711,-25.094,-17.52,-14.56,-3.519
cg03,ceegrid,132.99,-5.727,1.333,-4.091,-1.102,-12.09,-13.186,-25.529,-18.004,-14.818,-3.08
cg04,ceegrid,121.4,-6.304,0.381,-4.18,-1.663,-12.156,-13.227,-25.456,-17.932,-14.575,-2.014
cg05,ceegrid,109.7,-6.386,-0.852,-4.267,-2.288,-12.217,-13.295,-25.357,-17.846,-14.16,-0.885
cg06,ceegrid,96.27,-5.834,-1.521,-3.986,-2.444,-11.79,-12.903,-24.773,-17.268,-13.377,0.362
cg07,ceegrid,84.11,-4.556,-2.005,-3.415,-2.2,-11.185,-12.219,-24.071,-16.505,-12.516,1.35
cg08,ceegrid,76.17,-3.133,-1.894,-2.576,-1.302,-10.149,-11.134,-23.02,-15.386,-11.554,1.759
cg09,ceegrid,74.23,-2.329,-1.332,-1.991,-0.404,-9.278,-10.097,-22.055,-14.411,-10.771,1.415
cg10,ceegrid,76.73,-2.035,-0.073,-1.42,0.637,-7.946,-9.055,-20.983,-13.319,-9.915,0.434
earlobe_ipsi,reference,79.02,-2.336,-0.634,-1.752,0.25,-8.859,-9.808,-21.869,-14.21,-10.812,0.741
hyoid,jaw,7.97,-3.617,-6.833,0.0,-1.492,-9.71,-9.221,-13.859,-8.384,0.0,0.0
mastoid,ear,93.22,-4.553,-0.987,-3.195,-1.205,-11.107,-12.114,-24.154,-16.543,-12.855,0.339
mental,jaw,15.58,-0.856,-4.938,-2.719,-2.697,0.0,0.0,0.0,-0.147,-1.272,-4.078
midjaw,jaw,61.27,-0.888,0.0,-1.743,0.0,-4.494,-7.975,-17.302,-10.595,-7.506,-0.543
post_lobule,ear,75.65,-3.016,-1.87,-2.521,-1.274,-10.064,-11.059,-22.928,-15.314,-11.458,1.79
pre_tragus,ear,104.58,-1.089,1.68,-1.533,1.491,-8.234,-9.795,-21.861,-14.351,-11.498,-2.543
submaxillary,jaw,13.77,-1.003,-4.252,-0.879,-1.624,-3.107,-3.41,-9.258,-4.17,-0.747,-0.929
submental_lat,jaw,8.35,-1.0,-4.958,-1.521,-1.95,-1.278,-0.961,-2.198,-0.409,-0.377,-2.771
submental_mid,jaw,9.66,-1.372,-5.396,-1.772,-2.118,-1.519,-0.875,-0.266,0.0,-0.368,-3.324
