electrode,muscle,lf_absE,lf_median,lf_min,lf_max,envelope_db,lf_pca,pca_dominance,fibre_model,n_elements
above_ear,masseter,0.20909588503373064,0.1000017975199814,0.02868641180029471,0.13529058246538897,13.471826760463106,,,isotropic,32633
above_ear,temporalis,0.29269977129106384,0.13385230791178765,0.042494901943544536,0.20456955938969373,13.650083566317115,,,isotropic,200000
above_ear,medial_pterygoid,0.21132652242465472,0.1048532748150856,0.04576270794289711,0.14865215699417633,10.233190000970865,0.1213872830574931,2.536,pca,18993
above_ear,lateral_pterygoid,0.21078010077724846,0.10107089426986636,0.03175540266601404,0.1945978661455781,15.746408993090045,,,isotropic,16134
above_ear,orbicularis_oris,0.1813308094763946,0.08221971123593552,0.02304663809971189,0.1581644053405711,16.730023413535925,,,isotropic,25336
above_ear,buccinator,0.19966065152744597,0.09986187101710241,0.024871041530732902,0.16801145827592293,16.59289857278019,,,isotropic,17789
above_ear,mentalis,0.08897636283855717,0.04449224886415206,0.006839471137239439,0.07691643987084454,21.0199330652682,0.07332129796810291,2.174,pca,3226
above_ear,depressor_anguli_oris,0.15075279537746192,0.07654480091763281,0.02092529697549642,0.10497224260871926,14.008056904013209,,,isotropic,13347
above_ear,platysma,0.15325700687715788,0.06463016563874127,0.027791617136753054,0.12368217434168002,12.967865867187074,,,isotropic,37401
above_ear,sternocleidomastoid,0.1685953690231845,0.07604843748056117,0.025042132813388088,0.13078154638646294,14.357503073992586,0.08284852035452182,1.724,pca,45844
buccal,masseter,0.35369565267643566,0.15610700422456503,0.06312141797531126,0.31277968917381554,13.901235946361812,,,isotropic,32633
buccal,temporalis,0.1471772076384446,0.07058593635027968,0.019528221043262982,0.11058409046066087,15.060599359727371,,,isotropic,200000
buccal,medial_pterygoid,0.2567363614586443,0.11758892382646483,0.04663139778023029,0.21913585226302026,13.440700070635817,0.13479531976958847,2.536,pca,18993
buccal,lateral_pterygoid,0.17792837938043315,0.07569167638450743,0.022677555760246444,0.14882504317192677,16.34159547466351,,,isotropic,16134
buccal,orbicularis_oris,0.5721206264944815,0.2551756847543616,0.09399318396007494,0.4950411481891463,14.43089876023095,,,isotropic,25336
buccal,buccinator,0.6572532945305644,0.29622929723341995,0.08822432346080429,0.6191195558992215,16.923723708518036,,,isotropic,17789
buccal,mentalis,0.549707720399676,0.2757299348383606,0.04499404851799691,0.5126770167810639,21.13377552480731,0.4360949478507498,2.174,pca,3226
buccal,depressor_anguli_oris,0.6474941426504339,0.2897711386393721,0.121898970424615,0.5316583428539451,12.792651915009582,,,isotropic,13347
buccal,platysma,0.5615641769896715,0.24681462939979262,0.0771472334816781,0.49743681663045236,16.18835137293469,,,isotropic,37401
buccal,sternocleidomastoid,0.19296571820162742,0.08844390635707436,0.027318256007454793,0.14952826425280039,14.765406427415627,0.07847405333417497,1.724,pca,45844
cg01,masseter,0.24671238333424528,0.119023271079356,0.03612414764054123,0.17446832934150663,13.678379876499005,,,isotropic,32633
cg01,temporalis,0.3514178172482812,0.15578434661510748,0.05829226182249711,0.24834063444384616,12.588737588065385,,,isotropic,200000
cg01,medial_pterygoid,0.2406268147983869,0.11759014204399723,0.05110484810355457,0.16914355270566545,10.39586693032694,0.13231772587677687,2.536,pca,18993
cg01,lateral_pterygoid,0.24107946170265263,0.11435733530151124,0.03537483408869204,0.22366645378821076,16.018128808942357,,,isotropic,16134
cg01,orbicularis_oris,0.20732370988108506,0.0946471346273888,0.026426267797872917,0.18094770377960928,16.710344891554215,,,isotropic,25336
cg01,buccinator,0.22346380031096172,0.11345777780628943,0.027943957793083583,0.1879758599559688,16.556283273115863,,,isotropic,17789
cg01,mentalis,0.10207086775983322,0.050765608200565054,0.007790054105157568,0.08822586527646464,21.081109047279813,0.08308543783239294,2.174,pca,3226
cg01,depressor_anguli_oris,0.16929376756187184,0.087347536480508,0.02306289900762815,0.11769868900725747,14.1571545646026,,,isotropic,13347
cg01,platysma,0.17150660104257648,0.0718386340935698,0.027887863247275543,0.13673322276697472,13.809176199865759,,,isotropic,37401
cg01,sternocleidomastoid,0.17354746557966858,0.07707961686974302,0.02634871927265099,0.13387632990841672,14.118885753826413,0.08539479642797859,1.724,pca,45844
cg02,masseter,0.20874771288584662,0.09973571504925599,0.027832503043076006,0.1354884913891666,13.747002837591626,,,isotropic,32633
cg02,temporalis,0.29972340574457657,0.1367136117332799,0.042404903947841105,0.21135409833697516,13.95189179542105,,,isotropic,200000
cg02,medial_pterygoid,0.2107979025182509,0.1044452625014643,0.04550121802757896,0.1493948016415081,10.326249269764071,0.12125690838830289,2.536,pca,18993
cg02,lateral_pterygoid,0.2091786549142286,0.10078622758057809,0.03076475134573763,0.19273591505737098,15.938184816181487,,,isotropic,16134
cg02,orbicularis_oris,0.18123864560603503,0.08241166412505653,0.023396537484085933,0.15812557060664467,16.597010318701322,,,isotropic,25336
cg02,buccinator,0.1981221443521955,0.09945611238704867,0.024719897091021775,0.1659825050379233,16.540313125994256,,,isotropic,17789
cg02,mentalis,0.0888236658950028,0.04430405174857703,0.007438161190027083,0.07672326536818487,20.26922985387445,0.07318893282822168,2.174,pca,3226
cg02,depressor_anguli_oris,0.15038409822030246,0.0763818667060171,0.020446631536555657,0.10441030302554498,14.162431708967354,,,isotropic,13347
cg02,platysma,0.1523412876326624,0.06432534952620343,0.028271149515755104,0.12291276988113499,12.765070766576871,,,isotropic,37401
cg02,sternocleidomastoid,0.16578317746446602,0.07498721599924568,0.024704633601292457,0.1289343826328651,14.351806558479698,0.08125635810164504,1.724,pca,45844
cg03,masseter,0.19060400125246724,0.08930285359225693,0.025440007527760634,0.11580907255325598,13.16450696266231,,,isotropic,32633
cg03,temporalis,0.26597077145744025,0.12870672335793157,0.034895835583027786,0.1959667544629724,14.988175960894752,,,isotropic,200000
cg03,medial_pterygoid,0.202936893312763,0.10155812295920497,0.04477357980264518,0.14076449922612347,9.949426410599013,0.12053613120573232,2.536,pca,18993
cg03,lateral_pterygoid,0.1955094289058936,0.09511362479359911,0.028722164137994426,0.17626741813354466,15.759097670561744,,,isotropic,16134
cg03,orbicularis_oris,0.17538699143004488,0.07890743220925439,0.02277453928904852,0.15380205466105665,16.590250739991852,,,isotropic,25336
cg03,buccinator,0.1930931117758304,0.09644620713150273,0.023889964564255947,0.16232719571544232,16.643515609881913,,,isotropic,17789
cg03,mentalis,0.08587408453678752,0.04316057961964785,0.006535287938275741,0.07423070199967245,21.106376815485383,0.07115538949495696,2.174,pca,3226
cg03,depressor_anguli_oris,0.14633668761135102,0.07399198451011975,0.021149296519020835,0.10139705654610943,13.614588437430143,,,isotropic,13347
cg03,platysma,0.149611594355365,0.063960653649477,0.030617290504071134,0.12209614667758065,12.014704060704611,,,isotropic,37401
cg03,sternocleidomastoid,0.1741974054510319,0.0807862869224423,0.023291581870124853,0.1355675216095475,15.299133429303547,0.08395788476435112,1.724,pca,45844
cg04,masseter,0.190914618303274,0.08884444139802661,0.026660310661855285,0.11886794632601767,12.983991074535577,,,isotropic,32633
cg04,temporalis,0.24925310797357286,0.12262280270655745,0.03224503345100012,0.1910426565164637,15.453350334012663,,,isotropic,200000
cg04,medial_pterygoid,0.21619081178183797,0.1068788064092939,0.04891094752881997,0.14319420252721046,9.330387177098267,0.13099883384819758,2.536,pca,18993
cg04,lateral_pterygoid,0.19788358805449216,0.09479825266542007,0.031979265418002674,0.1740034921736223,14.713789618740993,,,isotropic,16134
cg04,orbicularis_oris,0.1846922254226724,0.08325345172638446,0.02327294365164568,0.16198118262320027,16.85226494840478,,,isotropic,25336
cg04,buccinator,0.2074600562719349,0.10204518787604644,0.024656000612338993,0.17776407201208227,17.158427157242993,,,isotropic,17789
cg04,mentalis,0.09017653432925786,0.046275044853615804,0.007342162609686916,0.07812563742019092,20.53939149952624,0.07559018928559165,2.174,pca,3226
cg04,depressor_anguli_oris,0.1549357007229648,0.07932531636310294,0.023620817008568062,0.10816888254231888,13.21614856088747,,,isotropic,13347
cg04,platysma,0.16254673816738607,0.06992708113237181,0.03356742756793265,0.13313340775271396,11.967379762254852,,,isotropic,37401
cg04,sternocleidomastoid,0.2070363099136629,0.09710580994952969,0.025881682583853996,0.15961839790770477,15.801808816246703,0.09976367959792011,1.724,pca,45844
cg05,masseter,0.17445311508389397,0.07975019443094956,0.029240113735642843,0.11231786106049359,11.689395335045187,,,isotropic,32633
cg05,temporalis,0.20320456498012157,0.09641796828416502,0.025578511941278987,0.16297511362010175,16.084920343576297,,,isotropic,200000
cg05,medial_pterygoid,0.2014866420513055,0.09587848987262643,0.04760351333595532,0.12750886706263784,8.558027607101232,0.12341096087250325,2.536,pca,18993
cg05,lateral_pterygoid,0.17037384472217976,0.07993885688981889,0.029173452746090813,0.14866034730020702,14.144146222787715,,,isotropic,16134
cg05,orbicularis_oris,0.16665848141867715,0.07491308435220012,0.021798584084366964,0.14598479963115102,16.517587059272426,,,isotropic,25336
cg05,buccinator,0.19214885710345753,0.09174969437700314,0.021899723917155292,0.16613958201890736,17.600689473029593,,,isotropic,17789
cg05,mentalis,0.08195871905699849,0.04241374496473103,0.007423073413413184,0.07078193756652418,19.5867738205786,0.06863100848252958,2.174,pca,3226
cg05,depressor_anguli_oris,0.14066190345514634,0.07259045877356342,0.02260412257020247,0.09933878676840735,12.858623960819685,,,isotropic,13347
cg05,platysma,0.15399788277696264,0.0664654689252173,0.03316012403565784,0.12755542073232412,11.701655464414358,,,isotropic,37401
cg05,sternocleidomastoid,0.21278052654962423,0.10020355182568998,0.02768503124247244,0.1596165726435645,15.21665926528885,0.1028709689474352,1.724,pca,45844
cg06,masseter,0.2030694709692708,0.08847571395892695,0.04234067946796153,0.13667756705030937,10.178788326607059,,,isotropic,32633
cg06,temporalis,0.19480302657655427,0.09293805049170417,0.02580491903906041,0.15988584535978573,15.842150333212249,,,isotropic,200000
cg06,medial_pterygoid,0.22340459421396483,0.10310865324704699,0.054211253813014046,0.13990441759716982,8.234839520667471,0.1390688438476277,2.536,pca,18993
cg06,lateral_pterygoid,0.17452452573770422,0.08174803842441189,0.031717742677060436,0.15148369979865337,13.58127264545491,,,isotropic,16134
cg06,orbicularis_oris,0.18018359184581031,0.08192994253469343,0.02400159952739387,0.1570071894614702,16.3135870866254,,,isotropic,25336
cg06,buccinator,0.21432727416051506,0.09993614912924248,0.022379561448009642,0.18606283453754988,18.396161220895355,,,isotropic,17789
cg06,mentalis,0.09001301048482664,0.04722813863416219,0.008501606957161163,0.07734968766435923,19.1791508280421,0.07451138057523114,2.174,pca,3226
cg06,depressor_anguli_oris,0.15183284658898843,0.08078697113411722,0.02414053703787893,0.1087560332814948,13.074128632493093,,,isotropic,13347
cg06,platysma,0.17802343403826992,0.07572695215524905,0.03630267740978543,0.14775730681710586,12.192206202159731,,,isotropic,37401
cg06,sternocleidomastoid,0.2604699385462637,0.12043616766300719,0.033590761804081055,0.18817651244560063,14.966911240027873,0.13176212628825296,1.724,pca,45844
cg07,masseter,0.22738432349678162,0.10018693589994915,0.0574899229979983,0.1499995015412821,8.3299617783027,,,isotropic,32633
cg07,temporalis,0.18208068267329597,0.0859222701515234,0.027341712897258147,0.14778213243469743,14.655924205861876,,,isotropic,200000
cg07,medial_pterygoid,0.2385736344298376,0.10762888375600611,0.06021032089126483,0.15003608793725767,7.930495799611601,0.1487510629423112,2.536,pca,18993
cg07,lateral_pterygoid,0.17330073137800855,0.08217306076621639,0.0337161267334729,0.14863164714747204,12.885472261876409,,,isotropic,16134
cg07,orbicularis_oris,0.18734404942632873,0.08585696620251874,0.024511104952672103,0.16226862850265644,16.417433519291595,,,isotropic,25336
cg07,buccinator,0.2299868244750665,0.1056910706537825,0.023820993164652155,0.19925122832940195,18.448822857848263,,,isotropic,17789
