electrode,montage,muscle,dist_mm
pre_tragus,ear,masseter,7.839
above_ear,ear,masseter,43.335
mastoid,ear,masseter,42.289
post_lobule,ear,masseter,31.16
mental,jaw,masseter,62.545
submental_mid,jaw,masseter,53.383
submental_lat,jaw,masseter,46.694
submaxillary,jaw,masseter,23.051
hyoid,jaw,masseter,43.474
buccal,jaw,masseter,20.451
midjaw,jaw,masseter,11.007
cg01,ceegrid,masseter,35.645
cg02,ceegrid,masseter,46.395
cg03,ceegrid,masseter,56.685
cg04,ceegrid,masseter,57.077
cg05,ceegrid,masseter,58.855
cg06,ceegrid,masseter,55.339
cg07,ceegrid,masseter,43.903
cg08,ceegrid,masseter,31.676
cg09,ceegrid,masseter,25.419
cg10,ceegrid,masseter,15.558
earlobe_contra,reference,masseter,23.981
earlobe_ipsi,reference,masseter,20.994
pre_tragus,ear,temporalis,8.5
above_ear,ear,temporalis,3.5
mastoid,ear,temporalis,4.531
post_lobule,ear,temporalis,19.915
mental,jaw,temporalis,80.259
submental_mid,jaw,temporalis,75.558
submental_lat,jaw,temporalis,70.111
submaxillary,jaw,temporalis,51.819
hyoid,jaw,temporalis,65.817
buccal,jaw,temporalis,37.146
midjaw,jaw,temporalis,23.832
cg01,ceegrid,temporalis,4.026
cg02,ceegrid,temporalis,3.999
cg03,ceegrid,temporalis,3.5
cg04,ceegrid,temporalis,2.12
cg05,ceegrid,temporalis,3.669
cg06,ceegrid,temporalis,3.201
cg07,ceegrid,temporalis,7.634
cg08,ceegrid,temporalis,19.248
cg09,ceegrid,temporalis,27.138
cg10,ceegrid,temporalis,21.421
earlobe_contra,reference,temporalis,18.583
earlobe_ipsi,reference,temporalis,23.759
pre_tragus,ear,medial_pterygoid,50.165
above_ear,ear,medial_pterygoid,74.567
mastoid,ear,medial_pterygoid,53.471
post_lobule,ear,medial_pterygoid,36.092
mental,jaw,medial_pterygoid,74.684
submental_mid,jaw,medial_pterygoid,65.521
submental_lat,jaw,medial_pterygoid,58.723
submaxillary,jaw,medial_pterygoid,36.114
hyoid,jaw,medial_pterygoid,49.059
buccal,jaw,medial_pterygoid,40.475
