muscle,depth_mm,fat_frac_of_path,fat_mm,material_share_pct
masseter,14.780298893808634,0.6,8.36008287935869,
temporalis,8.439846703796428,0.475,4.208242919740998,
medial_pterygoid,35.20609523163169,0.225,7.779425994504425,
lateral_pterygoid,28.080624341233058,0.2,4.782940039656848,17.0
orbicularis_oris,5.098607523613505,0.3,1.507119113846506,13.3
buccinator,16.192513346533914,0.575,10.622063109825426,1.8
mentalis,9.34069867295371,0.425,3.8289767830916146,13.0
depressor_anguli_oris,5.52219362988372,0.575,3.048560642457498,4.1
platysma,4.15315009055029,0.65,2.437205307754978,0.6
sternocleidomastoid,5.24361961190297,0.225,1.3175473033139067,21.0
