muscle,cluster_gap_dB,rand4_lo,rand4_hi,crosses_zero,orientation_agree_pct,verdict,jaw_set,is_published_set,dropped
masseter,2.2181,1.6465,5.7929,False,68.5,"jaw, site-robust but orientation-dependent",buccal+mental+midjaw+submaxillary,True,submental_mid
temporalis,-2.571,-3.3082,-0.0348,False,92.0,"ear, robust on both axes",buccal+mental+midjaw+submaxillary,True,submental_mid
medial_pterygoid,1.2542,1.1412,3.3531,False,65.5,"jaw, site-robust but orientation-dependent",buccal+mental+midjaw+submaxillary,True,submental_mid
lateral_pterygoid,-1.5642,-1.5905,1.0909,True,65.5,no resolvable preference,buccal+mental+midjaw+submaxillary,True,submental_mid
orbicularis_oris,8.9951,7.9771,11.4248,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submaxillary,True,submental_mid
buccinator,10.2362,9.2402,12.4314,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submaxillary,True,submental_mid
mentalis,21.2357,20.8976,23.994,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submaxillary,True,submental_mid
depressor_anguli_oris,14.6985,13.7803,17.1462,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submaxillary,True,submental_mid
platysma,10.0076,8.8823,12.4638,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submaxillary,True,submental_mid
sternocleidomastoid,-0.9735,-1.4023,1.2671,True,60.5,no resolvable preference,buccal+mental+midjaw+submaxillary,True,submental_mid
masseter,2.2181,1.6465,5.7647,False,68.0,"jaw, site-robust but orientation-dependent",buccal+mental+midjaw+submental_mid,False,submaxillary
temporalis,-2.571,-3.3082,-0.0348,False,92.0,"ear, robust on both axes",buccal+mental+midjaw+submental_mid,False,submaxillary
medial_pterygoid,0.8561,0.7297,3.0214,False,60.5,"jaw, site-robust but orientation-dependent",buccal+mental+midjaw+submental_mid,False,submaxillary
lateral_pterygoid,-1.5905,-1.7118,1.0746,True,67.0,no resolvable preference,buccal+mental+midjaw+submental_mid,False,submaxillary
orbicularis_oris,9.0162,8.1024,11.5259,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submental_mid,False,submaxillary
buccinator,10.3872,9.3467,12.5102,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submental_mid,False,submaxillary
mentalis,22.397,21.8913,24.995,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submental_mid,False,submaxillary
depressor_anguli_oris,15.6545,14.8133,18.1646,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submental_mid,False,submaxillary
platysma,9.8976,8.8853,12.4855,False,100.0,"jaw, robust on both axes",buccal+mental+midjaw+submental_mid,False,submaxillary
