electrode,lf_pervoxel_fan
above_ear,0.16229431582112464
buccal,0.046675019495636474
cg01,0.17485552906537177
cg02,0.15378012044445666
cg03,0.13288438282690662
cg04,0.12994810877736868
cg05,0.12193212861039654
cg06,0.12289584063753207
cg07,0.13132847620074936
cg08,0.15196702985413463
cg09,0.17983735121045302
cg10,0.22520382741081194
earlobe_ipsi,0.21410428593122993
hyoid,0.06319491424208072
mastoid,0.15862198648367096
mental,0.05610412597618341
midjaw,0.1338509150154727
post_lobule,0.15218534474050038
pre_tragus,0.24716754019894946
submaxillary,0.06030351035626301
submental_lat,0.06265600487114392
submental_mid,0.06141193612522724
