electrode,lf_pervoxel_fan
above_ear,0.0925700322878317
buccal,0.16495381892460567
cg01,0.11862779571221134
cg02,0.0907231303880801
cg03,0.07298082918347751
cg04,0.06001267131146467
cg05,0.04372591055361046
cg06,0.03514628635156654
cg07,0.05987106323673519
cg08,0.09076130036909973
cg09,0.10266934199934219
cg10,0.0898551182665715
earlobe_ipsi,0.08128157375409056
hyoid,0.10024880065624849
mastoid,0.045286377239924264
mental,0.09410969550535875
midjaw,0.14178139670112822
post_lobule,0.09265448846241442
pre_tragus,0.20736510391853644
submaxillary,0.1605403993217353
submental_lat,0.11536033743234271
submental_mid,0.09929112461555666
