statistic,comparison,muscle,base_dB,other_dB,delta_dB,abs_delta
median,pc_prod->pc_fine,buccinator,10.4998,9.9813,-0.5185,0.5185
median,pc_prod->pc_fine,depressor_anguli_oris,15.7466,15.1074,-0.6392,0.6392
median,pc_prod->pc_fine,lateral_pterygoid,-1.9904,-2.731,-0.7406,0.7406
median,pc_prod->pc_fine,masseter,1.8035,2.0935,0.2901,0.2901
median,pc_prod->pc_fine,medial_pterygoid,1.9391,0.892,-1.0471,1.0471
median,pc_prod->pc_fine,mentalis,22.2075,21.8614,-0.3462,0.3462
median,pc_prod->pc_fine,orbicularis_oris,9.5969,9.0322,-0.5647,0.5647
median,pc_prod->pc_fine,platysma,11.2072,9.3573,-1.8498,1.8498
median,pc_prod->pc_fine,sternocleidomastoid,-2.1309,-3.8512,-1.7204,1.7204
median,pc_prod->pc_fine,temporalis,-2.6159,-3.4078,-0.7919,0.7919
mean,pc_prod->pc_fine,buccinator,10.2377,9.7009,-0.5368,0.5368
mean,pc_prod->pc_fine,depressor_anguli_oris,15.5709,14.9922,-0.5787,0.5787
mean,pc_prod->pc_fine,lateral_pterygoid,-1.6502,-2.4487,-0.7985,0.7985
mean,pc_prod->pc_fine,masseter,1.1611,1.1483,-0.0128,0.0128
mean,pc_prod->pc_fine,medial_pterygoid,2.399,1.4439,-0.9551,0.9551
mean,pc_prod->pc_fine,mentalis,21.8513,21.453,-0.3983,0.3983
mean,pc_prod->pc_fine,orbicularis_oris,10.5733,9.982,-0.5912,0.5912
mean,pc_prod->pc_fine,platysma,13.5633,11.8228,-1.7405,1.7405
mean,pc_prod->pc_fine,sternocleidomastoid,-1.9295,-3.7388,-1.8093,1.8093
mean,pc_prod->pc_fine,temporalis,-4.462,-5.4064,-0.9444,0.9444
