montage,muscle,distance_mm,median_E_Vpm
jaw,masseter,97.618,0.37069356745100984
jaw,temporalis,154.556,0.13680382825323983
jaw,medial_pterygoid,92.499,0.3175612631068007
jaw,lateral_pterygoid,114.89,0.24534794101449428
jaw,orbicularis_oris,45.444,0.8660075381359902
jaw,buccinator,56.811,1.0733221642948039
jaw,mentalis,17.438,1.9641155361987024
jaw,depressor_anguli_oris,38.074,1.601636448317619
jaw,platysma,69.901,0.6178829822207301
jaw,sternocleidomastoid,127.324,0.2045660435914426
ear,masseter,95.739,0.2312563605853553
ear,temporalis,115.689,0.22726997665773496
ear,medial_pterygoid,105.966,0.2557798417074556
ear,lateral_pterygoid,112.653,0.24702832493934285
ear,orbicularis_oris,140.601,0.18363983849776325
ear,buccinator,119.938,0.2212381181251597
ear,mentalis,146.3,0.09826002589296728
ear,depressor_anguli_oris,147.523,0.15869369259821384
ear,platysma,131.94,0.17485939027057976
ear,sternocleidomastoid,102.208,0.37416573173355017
