x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
3.776,-3.968,19.235,20.0,1.0,0.0,0.0,58.0,13.87474,22.72476
3.776,-3.968,19.235,20.0,0.0,1.0,0.0,58.0,14.1215,25.40226
3.776,-3.968,19.235,20.0,0.0,0.0,1.0,58.0,5.919,26.71176
3.776,-3.968,19.235,20.0,0.1888,-0.1984,0.9618,58.0,6.19828,25.73623
3.204,-16.363,11.045,20.0,1.0,0.0,0.0,58.0,12.59722,26.799
3.204,-16.363,11.045,20.0,0.0,1.0,0.0,58.0,7.82088,22.5602
3.204,-16.363,11.045,20.0,0.0,0.0,1.0,58.0,5.04961,24.83999
3.204,-16.363,11.045,20.0,0.1602,-0.8181,0.5523,58.0,7.28698,26.17327
14.83,10.771,-8.003,20.0,1.0,0.0,0.0,58.0,9.17837,19.65429
14.83,10.771,-8.003,20.0,0.0,1.0,0.0,58.0,8.62444,21.84235
14.83,10.771,-8.003,20.0,0.0,0.0,1.0,58.0,8.86871,16.1842
14.83,10.771,-8.003,20.0,0.7415,0.5385,-0.4002,58.0,6.0973,25.17204
-17.934,-8.833,0.586,20.0,1.0,0.0,0.0,58.0,6.2611,28.57786
-17.934,-8.833,0.586,20.0,0.0,1.0,0.0,58.0,9.42786,22.56026
-17.934,-8.833,0.586,20.0,0.0,0.0,1.0,58.0,5.45044,13.42075
-17.934,-8.833,0.586,20.0,-0.8967,-0.4417,0.0293,58.0,7.62181,28.78004
-17.568,-1.653,-9.414,20.0,1.0,0.0,0.0,58.0,9.28703,27.90784
-17.568,-1.653,-9.414,20.0,0.0,1.0,0.0,58.0,8.30461,22.89313
-17.568,-1.653,-9.414,20.0,0.0,0.0,1.0,58.0,7.76994,2.78136
-17.568,-1.653,-9.414,20.0,-0.8784,-0.0827,-0.4707,58.0,12.34852,14.55091
-15.166,-11.272,-6.551,20.0,1.0,0.0,0.0,58.0,7.27147,28.46728
-15.166,-11.272,-6.551,20.0,0.0,1.0,0.0,58.0,8.00858,22.0611
-15.166,-11.272,-6.551,20.0,0.0,0.0,1.0,58.0,6.75525,5.9754
-15.166,-11.272,-6.551,20.0,-0.7583,-0.5636,-0.3276,58.0,11.22908,20.57042
14.594,36.963,-4.557,40.0,1.0,0.0,0.0,38.0,7.36898,18.23495
14.594,36.963,-4.557,40.0,0.0,1.0,0.0,38.0,7.91624,25.70744
14.594,36.963,-4.557,40.0,0.0,0.0,1.0,38.0,4.1302,24.33251
14.594,36.963,-4.557,40.0,0.3649,0.9241,-0.1139,38.0,6.68244,24.08953
35.04,-17.057,9.014,40.0,1.0,0.0,0.0,38.0,7.15624,31.38657
35.04,-17.057,9.014,40.0,0.0,1.0,0.0,38.0,9.56114,31.38644
35.04,-17.057,9.014,40.0,0.0,0.0,1.0,38.0,6.28918,11.27899
35.04,-17.057,9.014,40.0,0.876,-0.4264,0.2253,38.0,4.99256,33.12279
30.787,3.204,-25.336,40.0,1.0,0.0,0.0,38.0,10.12043,41.42152
30.787,3.204,-25.336,40.0,0.0,1.0,0.0,38.0,13.12207,22.62926
30.787,3.204,-25.336,40.0,0.0,0.0,1.0,38.0,3.95162,28.70952
30.787,3.204,-25.336,40.0,0.7697,0.0801,-0.6334,38.0,6.45883,16.85578
-35.033,-17.397,8.369,40.0,1.0,0.0,0.0,38.0,7.19343,29.07697
-35.033,-17.397,8.369,40.0,0.0,1.0,0.0,38.0,9.18637,22.74815
-35.033,-17.397,8.369,40.0,0.0,0.0,1.0,38.0,4.37697,19.77325
-35.033,-17.397,8.369,40.0,-0.8758,-0.4349,0.2092,38.0,5.15526,25.21211
-38.709,-8.02,-6.105,40.0,1.0,0.0,0.0,38.0,6.20289,20.58634
-38.709,-8.02,-6.105,40.0,0.0,1.0,0.0,38.0,11.20091,19.43893
-38.709,-8.02,-6.105,40.0,0.0,0.0,1.0,38.0,7.11269,30.99698
-38.709,-8.02,-6.105,40.0,-0.9677,-0.2005,-0.1526,38.0,8.65019,19.17062
31.729,12.593,20.848,40.0,1.0,0.0,0.0,38.0,7.65637,21.6851
31.729,12.593,20.848,40.0,0.0,1.0,0.0,38.0,8.44333,20.47178
31.729,12.593,20.848,40.0,0.0,0.0,1.0,38.0,3.39222,20.11265
31.729,12.593,20.848,40.0,0.7932,0.3148,0.5212,38.0,7.50016,20.89665
-38.123,-7.557,45.711,60.0,1.0,0.0,0.0,18.0,6.10497,27.8319
-38.123,-7.557,45.711,60.0,0.0,1.0,0.0,18.0,10.61661,15.30639
-38.123,-7.557,45.711,60.0,0.0,0.0,1.0,18.0,4.01132,23.10663
-38.123,-7.557,45.711,60.0,-0.6354,-0.126,0.7619,18.0,6.04302,23.26427
36.258,-30.568,36.755,60.0,1.0,0.0,0.0,18.0,6.86664,37.31164
36.258,-30.568,36.755,60.0,0.0,1.0,0.0,18.0,9.09047,32.16232
36.258,-30.568,36.755,60.0,0.0,0.0,1.0,18.0,7.25333,21.94913
36.258,-30.568,36.755,60.0,0.6043,-0.5095,0.6126,18.0,9.49948,42.05907
51.157,29.698,10.052,60.0,1.0,0.0,0.0,18.0,6.19294,22.0175
51.157,29.698,10.052,60.0,0.0,1.0,0.0,18.0,6.6702,13.98208
51.157,29.698,10.052,60.0,0.0,0.0,1.0,18.0,4.39268,22.33101
51.157,29.698,10.052,60.0,0.8526,0.495,0.1675,18.0,4.12649,17.10624
-7.647,35.516,47.751,60.0,1.0,0.0,0.0,18.0,7.90957,19.25044
-7.647,35.516,47.751,60.0,0.0,1.0,0.0,18.0,5.13914,25.16819
-7.647,35.516,47.751,60.0,0.0,0.0,1.0,18.0,3.86121,21.21747
-7.647,35.516,47.751,60.0,-0.1274,0.5919,0.7958,18.0,4.5159,25.9161
47.852,34.93,9.492,60.0,1.0,0.0,0.0,18.0,4.30775,17.97389
47.852,34.93,9.492,60.0,0.0,1.0,0.0,18.0,9.09272,10.14692
47.852,34.93,9.492,60.0,0.0,0.0,1.0,18.0,3.81559,23.72452
