x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
3.776,-3.968,19.235,20.0,1.0,0.0,0.0,58.0,8.92178,12.90836
3.776,-3.968,19.235,20.0,0.0,1.0,0.0,58.0,13.89476,11.9051
3.776,-3.968,19.235,20.0,0.0,0.0,1.0,58.0,2.63073,8.70528
3.776,-3.968,19.235,20.0,0.1888,-0.1984,0.9618,58.0,3.35447,9.00791
3.204,-16.363,11.045,20.0,1.0,0.0,0.0,58.0,12.7629,14.35989
3.204,-16.363,11.045,20.0,0.0,1.0,0.0,58.0,7.86616,11.9488
3.204,-16.363,11.045,20.0,0.0,0.0,1.0,58.0,7.45971,2.94523
3.204,-16.363,11.045,20.0,0.1602,-0.8181,0.5523,58.0,3.61792,9.24828
14.83,10.771,-8.003,20.0,1.0,0.0,0.0,58.0,8.47215,8.37877
14.83,10.771,-8.003,20.0,0.0,1.0,0.0,58.0,4.98078,6.79217
14.83,10.771,-8.003,20.0,0.0,0.0,1.0,58.0,4.4763,11.53396
14.83,10.771,-8.003,20.0,0.7415,0.5385,-0.4002,58.0,7.0934,10.25385
-17.934,-8.833,0.586,20.0,1.0,0.0,0.0,58.0,4.03961,5.81461
-17.934,-8.833,0.586,20.0,0.0,1.0,0.0,58.0,15.04812,11.01194
-17.934,-8.833,0.586,20.0,0.0,0.0,1.0,58.0,5.97013,1.9404
-17.934,-8.833,0.586,20.0,-0.8967,-0.4417,0.0293,58.0,9.85878,5.8502
-17.568,-1.653,-9.414,20.0,1.0,0.0,0.0,58.0,7.83624,11.22571
-17.568,-1.653,-9.414,20.0,0.0,1.0,0.0,58.0,12.67709,11.08943
-17.568,-1.653,-9.414,20.0,0.0,0.0,1.0,58.0,3.06906,15.70562
-17.568,-1.653,-9.414,20.0,-0.8784,-0.0827,-0.4707,58.0,4.66365,6.91161
-15.166,-11.272,-6.551,20.0,1.0,0.0,0.0,58.0,9.99793,13.76279
-15.166,-11.272,-6.551,20.0,0.0,1.0,0.0,58.0,15.29342,18.21208
-15.166,-11.272,-6.551,20.0,0.0,0.0,1.0,58.0,3.73294,20.86915
-15.166,-11.272,-6.551,20.0,-0.7583,-0.5636,-0.3276,58.0,10.80929,6.86054
14.594,36.963,-4.557,40.0,1.0,0.0,0.0,38.0,9.86351,12.29762
14.594,36.963,-4.557,40.0,0.0,1.0,0.0,38.0,11.18858,19.82248
14.594,36.963,-4.557,40.0,0.0,0.0,1.0,38.0,3.11477,15.30161
