x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
3.776,-3.968,19.235,20.0,1.0,0.0,0.0,58.0,10.19452,6.97211
3.776,-3.968,19.235,20.0,0.0,1.0,0.0,58.0,7.24279,8.01035
3.776,-3.968,19.235,20.0,0.0,0.0,1.0,58.0,6.48068,1.04736
3.776,-3.968,19.235,20.0,0.1888,-0.1984,0.9618,58.0,7.2145,2.08062
3.204,-16.363,11.045,20.0,1.0,0.0,0.0,58.0,11.35733,0.95306
3.204,-16.363,11.045,20.0,0.0,1.0,0.0,58.0,7.70579,5.85715
3.204,-16.363,11.045,20.0,0.0,0.0,1.0,58.0,6.9327,0.72009
3.204,-16.363,11.045,20.0,0.1602,-0.8181,0.5523,58.0,8.87456,-0.46562
14.83,10.771,-8.003,20.0,1.0,0.0,0.0,58.0,9.10201,5.79317
14.83,10.771,-8.003,20.0,0.0,1.0,0.0,58.0,11.39053,4.41551
14.83,10.771,-8.003,20.0,0.0,0.0,1.0,58.0,3.25338,-2.7243
14.83,10.771,-8.003,20.0,0.7415,0.5385,-0.4002,58.0,6.73047,3.75287
-17.934,-8.833,0.586,20.0,1.0,0.0,0.0,58.0,11.2642,-0.97696
-17.934,-8.833,0.586,20.0,0.0,1.0,0.0,58.0,9.92795,7.19928
-17.934,-8.833,0.586,20.0,0.0,0.0,1.0,58.0,5.25228,12.60197
-17.934,-8.833,0.586,20.0,-0.8967,-0.4417,0.0293,58.0,11.54513,-0.77572
-17.568,-1.653,-9.414,20.0,1.0,0.0,0.0,58.0,14.28066,-1.70806
-17.568,-1.653,-9.414,20.0,0.0,1.0,0.0,58.0,14.79408,11.21658
-17.568,-1.653,-9.414,20.0,0.0,0.0,1.0,58.0,2.68213,8.44076
-17.568,-1.653,-9.414,20.0,-0.8784,-0.0827,-0.4707,58.0,10.55436,14.7928
-15.166,-11.272,-6.551,20.0,1.0,0.0,0.0,58.0,12.70498,-1.27816
-15.166,-11.272,-6.551,20.0,0.0,1.0,0.0,58.0,8.6771,10.46361
-15.166,-11.272,-6.551,20.0,0.0,0.0,1.0,58.0,4.27135,11.81067
-15.166,-11.272,-6.551,20.0,-0.7583,-0.5636,-0.3276,58.0,9.05271,7.51658
14.594,36.963,-4.557,40.0,1.0,0.0,0.0,38.0,10.83426,1.87349
14.594,36.963,-4.557,40.0,0.0,1.0,0.0,38.0,7.33579,1.65756
14.594,36.963,-4.557,40.0,0.0,0.0,1.0,38.0,7.58964,16.64146
14.594,36.963,-4.557,40.0,0.3649,0.9241,-0.1139,38.0,4.90621,3.70326
35.04,-17.057,9.014,40.0,1.0,0.0,0.0,38.0,13.83178,-1.844
35.04,-17.057,9.014,40.0,0.0,1.0,0.0,38.0,4.69614,6.00148
35.04,-17.057,9.014,40.0,0.0,0.0,1.0,38.0,2.90768,2.01355
35.04,-17.057,9.014,40.0,0.876,-0.4264,0.2253,38.0,9.59486,-5.70875
30.787,3.204,-25.336,40.0,1.0,0.0,0.0,38.0,12.45155,16.64036
30.787,3.204,-25.336,40.0,0.0,1.0,0.0,38.0,5.73162,3.07445
30.787,3.204,-25.336,40.0,0.0,0.0,1.0,38.0,4.77951,22.89045
30.787,3.204,-25.336,40.0,0.7697,0.0801,-0.6334,38.0,7.31022,10.54884
-35.033,-17.397,8.369,40.0,1.0,0.0,0.0,38.0,14.49636,2.62599
-35.033,-17.397,8.369,40.0,0.0,1.0,0.0,38.0,4.22456,5.0178
-35.033,-17.397,8.369,40.0,0.0,0.0,1.0,38.0,3.88139,7.33534
-35.033,-17.397,8.369,40.0,-0.8758,-0.4349,0.2092,38.0,9.98426,2.25507
-38.709,-8.02,-6.105,40.0,1.0,0.0,0.0,38.0,12.3622,5.29557
-38.709,-8.02,-6.105,40.0,0.0,1.0,0.0,38.0,12.36159,9.11526
-38.709,-8.02,-6.105,40.0,0.0,0.0,1.0,38.0,6.17659,3.91489
-38.709,-8.02,-6.105,40.0,-0.9677,-0.2005,-0.1526,38.0,12.616,6.1507
31.729,12.593,20.848,40.0,1.0,0.0,0.0,38.0,19.92092,10.70996
31.729,12.593,20.848,40.0,0.0,1.0,0.0,38.0,5.80719,10.039
31.729,12.593,20.848,40.0,0.0,0.0,1.0,38.0,5.76601,-1.2928
31.729,12.593,20.848,40.0,0.7932,0.3148,0.5212,38.0,9.62135,6.98234
-38.123,-7.557,45.711,60.0,1.0,0.0,0.0,18.0,5.31663,2.86529
-38.123,-7.557,45.711,60.0,0.0,1.0,0.0,18.0,3.80092,9.97083
-38.123,-7.557,45.711,60.0,0.0,0.0,1.0,18.0,4.51471,6.04876
-38.123,-7.557,45.711,60.0,-0.6354,-0.126,0.7619,18.0,4.42492,4.87971
36.258,-30.568,36.755,60.0,1.0,0.0,0.0,18.0,4.63219,6.36428
36.258,-30.568,36.755,60.0,0.0,1.0,0.0,18.0,3.82725,7.80345
36.258,-30.568,36.755,60.0,0.0,0.0,1.0,18.0,4.65061,5.12225
36.258,-30.568,36.755,60.0,0.6043,-0.5095,0.6126,18.0,4.57548,7.42411
51.157,29.698,10.052,60.0,1.0,0.0,0.0,18.0,12.57151,12.68584
51.157,29.698,10.052,60.0,0.0,1.0,0.0,18.0,2.63673,8.10775
51.157,29.698,10.052,60.0,0.0,0.0,1.0,18.0,3.37546,-1.24107
51.157,29.698,10.052,60.0,0.8526,0.495,0.1675,18.0,8.19663,15.76481
-7.647,35.516,47.751,60.0,1.0,0.0,0.0,18.0,7.22723,-2.64467
-7.647,35.516,47.751,60.0,0.0,1.0,0.0,18.0,4.32856,2.41802
-7.647,35.516,47.751,60.0,0.0,0.0,1.0,18.0,2.90433,3.19265
-7.647,35.516,47.751,60.0,-0.1274,0.5919,0.7958,18.0,2.6688,2.80108
47.852,34.93,9.492,60.0,1.0,0.0,0.0,18.0,8.96526,11.06772
47.852,34.93,9.492,60.0,0.0,1.0,0.0,18.0,2.03221,5.28714
47.852,34.93,9.492,60.0,0.0,0.0,1.0,18.0,4.66365,1.92888
47.852,34.93,9.492,60.0,0.7975,0.5822,0.1582,18.0,5.53944,12.6076
-52.721,-0.194,28.643,60.0,1.0,0.0,0.0,18.0,3.36926,-1.02951
-52.721,-0.194,28.643,60.0,0.0,1.0,0.0,18.0,6.92429,10.13177
-52.721,-0.194,28.643,60.0,0.0,0.0,1.0,18.0,3.33202,4.69091
-52.721,-0.194,28.643,60.0,-0.8787,-0.0032,0.4774,18.0,3.31609,0.95289
-63.758,19.554,21.273,70.0,1.0,0.0,0.0,8.0,3.25246,4.35115
-63.758,19.554,21.273,70.0,0.0,1.0,0.0,8.0,1.73299,4.50533
-63.758,19.554,21.273,70.0,0.0,0.0,1.0,8.0,2.60753,3.36528
-63.758,19.554,21.273,70.0,-0.9108,0.2793,0.3039,8.0,3.75019,4.09227
31.957,-54.367,-30.381,70.0,1.0,0.0,0.0,8.0,3.73874,1.55218
31.957,-54.367,-30.381,70.0,0.0,1.0,0.0,8.0,1.52347,8.98138
31.957,-54.367,-30.381,70.0,0.0,0.0,1.0,8.0,2.8417,0.69363
31.957,-54.367,-30.381,70.0,0.4565,-0.7767,-0.434,8.0,3.58227,2.81552
-14.269,-38.245,56.866,70.0,1.0,0.0,0.0,8.0,4.38186,4.55999
-14.269,-38.245,56.866,70.0,0.0,1.0,0.0,8.0,2.62957,5.26865
-14.269,-38.245,56.866,70.0,0.0,0.0,1.0,8.0,1.37708,5.6366
-14.269,-38.245,56.866,70.0,-0.2038,-0.5464,0.8124,8.0,1.84059,4.83967
-53.5,35.49,-27.896,70.0,1.0,0.0,0.0,8.0,4.66681,0.11379
-53.5,35.49,-27.896,70.0,0.0,1.0,0.0,8.0,1.86635,6.51594
-53.5,35.49,-27.896,70.0,0.0,0.0,1.0,8.0,2.95957,4.83544
-53.5,35.49,-27.896,70.0,-0.7643,0.507,-0.3985,8.0,3.67527,1.35307
51.392,42.853,20.556,70.0,1.0,0.0,0.0,8.0,2.65076,3.01936
51.392,42.853,20.556,70.0,0.0,1.0,0.0,8.0,3.5571,9.07944
51.392,42.853,20.556,70.0,0.0,0.0,1.0,8.0,3.2038,0.69098
