x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
3.776,-3.968,19.235,20.0,1.0,0.0,0.0,58.0,6.43741,8.11271
3.776,-3.968,19.235,20.0,0.0,1.0,0.0,58.0,10.71144,7.91666
3.776,-3.968,19.235,20.0,0.0,0.0,1.0,58.0,10.58085,15.50412
3.776,-3.968,19.235,20.0,0.1888,-0.1984,0.9618,58.0,9.94145,13.03758
3.204,-16.363,11.045,20.0,1.0,0.0,0.0,58.0,9.50656,9.49826
3.204,-16.363,11.045,20.0,0.0,1.0,0.0,58.0,11.84959,8.14467
3.204,-16.363,11.045,20.0,0.0,0.0,1.0,58.0,5.48876,-0.37121
3.204,-16.363,11.045,20.0,0.1602,-0.8181,0.5523,58.0,9.41272,7.48828
14.83,10.771,-8.003,20.0,1.0,0.0,0.0,58.0,4.39451,8.03761
14.83,10.771,-8.003,20.0,0.0,1.0,0.0,58.0,12.84628,11.26466
14.83,10.771,-8.003,20.0,0.0,0.0,1.0,58.0,8.51541,-1.68478
14.83,10.771,-8.003,20.0,0.7415,0.5385,-0.4002,58.0,8.52805,3.6502
-17.934,-8.833,0.586,20.0,1.0,0.0,0.0,58.0,8.65122,10.28474
-17.934,-8.833,0.586,20.0,0.0,1.0,0.0,58.0,11.69137,6.45827
-17.934,-8.833,0.586,20.0,0.0,0.0,1.0,58.0,6.73741,1.41993
-17.934,-8.833,0.586,20.0,-0.8967,-0.4417,0.0293,58.0,9.18338,10.17203
-17.568,-1.653,-9.414,20.0,1.0,0.0,0.0,58.0,11.09646,9.71006
-17.568,-1.653,-9.414,20.0,0.0,1.0,0.0,58.0,16.07355,6.74741
-17.568,-1.653,-9.414,20.0,0.0,0.0,1.0,58.0,6.07502,-8.09372
-17.568,-1.653,-9.414,20.0,-0.8784,-0.0827,-0.4707,58.0,11.26321,1.2238
-15.166,-11.272,-6.551,20.0,1.0,0.0,0.0,58.0,9.87838,10.1899
-15.166,-11.272,-6.551,20.0,0.0,1.0,0.0,58.0,9.72368,6.02469
-15.166,-11.272,-6.551,20.0,0.0,0.0,1.0,58.0,6.92768,-5.23764
-15.166,-11.272,-6.551,20.0,-0.7583,-0.5636,-0.3276,58.0,11.26147,3.17378
14.594,36.963,-4.557,40.0,1.0,0.0,0.0,38.0,5.16126,8.43905
14.594,36.963,-4.557,40.0,0.0,1.0,0.0,38.0,8.301,22.57665
14.594,36.963,-4.557,40.0,0.0,0.0,1.0,38.0,7.41166,21.53735
14.594,36.963,-4.557,40.0,0.3649,0.9241,-0.1139,38.0,7.87545,19.14391
35.04,-17.057,9.014,40.0,1.0,0.0,0.0,38.0,11.8313,20.91681
35.04,-17.057,9.014,40.0,0.0,1.0,0.0,38.0,4.36906,5.68288
35.04,-17.057,9.014,40.0,0.0,0.0,1.0,38.0,5.65631,-1.64974
35.04,-17.057,9.014,40.0,0.876,-0.4264,0.2253,38.0,10.45506,18.82724
30.787,3.204,-25.336,40.0,1.0,0.0,0.0,38.0,23.84735,-4.228
30.787,3.204,-25.336,40.0,0.0,1.0,0.0,38.0,9.19756,9.8388
30.787,3.204,-25.336,40.0,0.0,0.0,1.0,38.0,7.26051,24.26456
30.787,3.204,-25.336,40.0,0.7697,0.0801,-0.6334,38.0,15.93843,43.97251
-35.033,-17.397,8.369,40.0,1.0,0.0,0.0,38.0,9.36821,0.08132
-35.033,-17.397,8.369,40.0,0.0,1.0,0.0,38.0,13.65813,0.07489
-35.033,-17.397,8.369,40.0,0.0,0.0,1.0,38.0,6.15534,2.9728
