x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
3.776,-3.968,19.235,20.0,1.0,0.0,0.0,58.0,9.60249,13.09311
3.776,-3.968,19.235,20.0,0.0,1.0,0.0,58.0,14.15854,10.9012
3.776,-3.968,19.235,20.0,0.0,0.0,1.0,58.0,1.57966,6.48067
3.776,-3.968,19.235,20.0,0.1888,-0.1984,0.9618,58.0,2.98121,7.19131
3.204,-16.363,11.045,20.0,1.0,0.0,0.0,58.0,13.59233,15.00079
3.204,-16.363,11.045,20.0,0.0,1.0,0.0,58.0,7.85354,9.96576
3.204,-16.363,11.045,20.0,0.0,0.0,1.0,58.0,7.43871,1.10095
3.204,-16.363,11.045,20.0,0.1602,-0.8181,0.5523,58.0,3.18307,6.95229
14.83,10.771,-8.003,20.0,1.0,0.0,0.0,58.0,8.56216,8.7312
14.83,10.771,-8.003,20.0,0.0,1.0,0.0,58.0,5.3102,6.12219
14.83,10.771,-8.003,20.0,0.0,0.0,1.0,58.0,3.68313,9.91996
14.83,10.771,-8.003,20.0,0.7415,0.5385,-0.4002,58.0,6.97296,7.58254
-17.934,-8.833,0.586,20.0,1.0,0.0,0.0,58.0,4.58047,4.77224
-17.934,-8.833,0.586,20.0,0.0,1.0,0.0,58.0,15.69931,10.67654
-17.934,-8.833,0.586,20.0,0.0,0.0,1.0,58.0,5.32426,-0.39446
-17.934,-8.833,0.586,20.0,-0.8967,-0.4417,0.0293,58.0,10.59855,5.09
-17.568,-1.653,-9.414,20.0,1.0,0.0,0.0,58.0,6.55697,9.52915
-17.568,-1.653,-9.414,20.0,0.0,1.0,0.0,58.0,12.67192,10.18311
-17.568,-1.653,-9.414,20.0,0.0,0.0,1.0,58.0,3.33235,13.7827
-17.568,-1.653,-9.414,20.0,-0.8784,-0.0827,-0.4707,58.0,3.96385,7.02138
-15.166,-11.272,-6.551,20.0,1.0,0.0,0.0,58.0,9.45646,12.34113
-15.166,-11.272,-6.551,20.0,0.0,1.0,0.0,58.0,15.97966,17.41913
-15.166,-11.272,-6.551,20.0,0.0,0.0,1.0,58.0,4.19327,18.93752
-15.166,-11.272,-6.551,20.0,-0.7583,-0.5636,-0.3276,58.0,10.78324,7.17324
14.594,36.963,-4.557,40.0,1.0,0.0,0.0,38.0,9.76733,12.25938
14.594,36.963,-4.557,40.0,0.0,1.0,0.0,38.0,10.87428,19.07444
14.594,36.963,-4.557,40.0,0.0,0.0,1.0,38.0,2.73526,13.99183
14.594,36.963,-4.557,40.0,0.3649,0.9241,-0.1139,38.0,10.28012,21.004
35.04,-17.057,9.014,40.0,1.0,0.0,0.0,38.0,7.90961,5.9415
35.04,-17.057,9.014,40.0,0.0,1.0,0.0,38.0,7.23247,10.71658
35.04,-17.057,9.014,40.0,0.0,0.0,1.0,38.0,5.29268,16.3783
35.04,-17.057,9.014,40.0,0.876,-0.4264,0.2253,38.0,6.01305,9.24215
30.787,3.204,-25.336,40.0,1.0,0.0,0.0,38.0,3.93053,9.03865
30.787,3.204,-25.336,40.0,0.0,1.0,0.0,38.0,11.38762,11.03977
30.787,3.204,-25.336,40.0,0.0,0.0,1.0,38.0,5.86324,-7.34272
30.787,3.204,-25.336,40.0,0.7697,0.0801,-0.6334,38.0,7.56943,-1.58836
-35.033,-17.397,8.369,40.0,1.0,0.0,0.0,38.0,5.01462,11.63525
-35.033,-17.397,8.369,40.0,0.0,1.0,0.0,38.0,14.82615,11.97887
-35.033,-17.397,8.369,40.0,0.0,0.0,1.0,38.0,4.53213,15.43661
-35.033,-17.397,8.369,40.0,-0.8758,-0.4349,0.2092,38.0,7.85293,18.88817
-38.709,-8.02,-6.105,40.0,1.0,0.0,0.0,38.0,9.21791,13.06489
-38.709,-8.02,-6.105,40.0,0.0,1.0,0.0,38.0,7.81966,4.71048
-38.709,-8.02,-6.105,40.0,0.0,0.0,1.0,38.0,3.84947,3.82661
-38.709,-8.02,-6.105,40.0,-0.9677,-0.2005,-0.1526,38.0,9.56972,10.98552
31.729,12.593,20.848,40.0,1.0,0.0,0.0,38.0,8.00151,11.87269
31.729,12.593,20.848,40.0,0.0,1.0,0.0,38.0,7.26164,12.38506
31.729,12.593,20.848,40.0,0.0,0.0,1.0,38.0,4.30456,6.57114
31.729,12.593,20.848,40.0,0.7932,0.3148,0.5212,38.0,7.38534,14.31254
-38.123,-7.557,45.711,60.0,1.0,0.0,0.0,18.0,1.97756,4.97704
-38.123,-7.557,45.711,60.0,0.0,1.0,0.0,18.0,3.57609,3.20845
-38.123,-7.557,45.711,60.0,0.0,0.0,1.0,18.0,1.38972,7.01118
-38.123,-7.557,45.711,60.0,-0.6354,-0.126,0.7619,18.0,1.456,5.85318
36.258,-30.568,36.755,60.0,1.0,0.0,0.0,18.0,2.50626,6.18791
36.258,-30.568,36.755,60.0,0.0,1.0,0.0,18.0,9.56013,1.21285
36.258,-30.568,36.755,60.0,0.0,0.0,1.0,18.0,2.74459,7.78315
36.258,-30.568,36.755,60.0,0.6043,-0.5095,0.6126,18.0,4.72715,5.67757
51.157,29.698,10.052,60.0,1.0,0.0,0.0,18.0,5.3043,12.84322
51.157,29.698,10.052,60.0,0.0,1.0,0.0,18.0,4.16722,14.79653
51.157,29.698,10.052,60.0,0.0,0.0,1.0,18.0,3.35026,10.48969
51.157,29.698,10.052,60.0,0.8526,0.495,0.1675,18.0,4.94517,16.84709
-7.647,35.516,47.751,60.0,1.0,0.0,0.0,18.0,3.07481,9.52065
-7.647,35.516,47.751,60.0,0.0,1.0,0.0,18.0,4.70905,13.89313
-7.647,35.516,47.751,60.0,0.0,0.0,1.0,18.0,4.41246,13.08724
-7.647,35.516,47.751,60.0,-0.1274,0.5919,0.7958,18.0,4.84237,15.4023
47.852,34.93,9.492,60.0,1.0,0.0,0.0,18.0,3.61542,7.30531
47.852,34.93,9.492,60.0,0.0,1.0,0.0,18.0,3.12106,10.34244
47.852,34.93,9.492,60.0,0.0,0.0,1.0,18.0,4.37703,9.72287
47.852,34.93,9.492,60.0,0.7975,0.5822,0.1582,18.0,3.26451,9.96114
-52.721,-0.194,28.643,60.0,1.0,0.0,0.0,18.0,3.32877,10.98199
-52.721,-0.194,28.643,60.0,0.0,1.0,0.0,18.0,6.00407,10.63275
-52.721,-0.194,28.643,60.0,0.0,0.0,1.0,18.0,8.68718,8.38878
-52.721,-0.194,28.643,60.0,-0.8787,-0.0032,0.4774,18.0,5.9167,11.92009
-63.758,19.554,21.273,70.0,1.0,0.0,0.0,8.0,4.11514,-0.27722
-63.758,19.554,21.273,70.0,0.0,1.0,0.0,8.0,4.16245,1.83703
-63.758,19.554,21.273,70.0,0.0,0.0,1.0,8.0,3.7257,6.32578
-63.758,19.554,21.273,70.0,-0.9108,0.2793,0.3039,8.0,3.13909,2.30797
31.957,-54.367,-30.381,70.0,1.0,0.0,0.0,8.0,2.61733,9.27143
31.957,-54.367,-30.381,70.0,0.0,1.0,0.0,8.0,2.56354,1.13059
31.957,-54.367,-30.381,70.0,0.0,0.0,1.0,8.0,1.21167,7.95605
31.957,-54.367,-30.381,70.0,0.4565,-0.7767,-0.434,8.0,3.14992,6.14021
-14.269,-38.245,56.866,70.0,1.0,0.0,0.0,8.0,3.21388,9.85775
-14.269,-38.245,56.866,70.0,0.0,1.0,0.0,8.0,3.18071,10.27293
-14.269,-38.245,56.866,70.0,0.0,0.0,1.0,8.0,1.92887,7.44072
