x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
3.776,-3.968,19.235,20.0,1.0,0.0,0.0,58.0,9.79395,10.92511
3.776,-3.968,19.235,20.0,0.0,1.0,0.0,58.0,6.60385,8.37144
3.776,-3.968,19.235,20.0,0.0,0.0,1.0,58.0,6.55099,2.9367
3.776,-3.968,19.235,20.0,0.1888,-0.1984,0.9618,58.0,7.2786,3.78781
3.204,-16.363,11.045,20.0,1.0,0.0,0.0,58.0,11.13257,4.54616
3.204,-16.363,11.045,20.0,0.0,1.0,0.0,58.0,8.11133,6.03885
3.204,-16.363,11.045,20.0,0.0,0.0,1.0,58.0,6.24602,2.11522
3.204,-16.363,11.045,20.0,0.1602,-0.8181,0.5523,58.0,8.51992,-0.64088
14.83,10.771,-8.003,20.0,1.0,0.0,0.0,58.0,8.56941,9.05717
14.83,10.771,-8.003,20.0,0.0,1.0,0.0,58.0,11.09511,6.03993
14.83,10.771,-8.003,20.0,0.0,0.0,1.0,58.0,3.09082,-0.63921
14.83,10.771,-8.003,20.0,0.7415,0.5385,-0.4002,58.0,6.8432,5.14126
-17.934,-8.833,0.586,20.0,1.0,0.0,0.0,58.0,11.10526,2.50896
-17.934,-8.833,0.586,20.0,0.0,1.0,0.0,58.0,8.75645,6.92417
-17.934,-8.833,0.586,20.0,0.0,0.0,1.0,58.0,5.02311,14.68149
-17.934,-8.833,0.586,20.0,-0.8967,-0.4417,0.0293,58.0,11.21112,1.31281
-17.568,-1.653,-9.414,20.0,1.0,0.0,0.0,58.0,14.22703,1.76139
-17.568,-1.653,-9.414,20.0,0.0,1.0,0.0,58.0,14.11658,11.68725
-17.568,-1.653,-9.414,20.0,0.0,0.0,1.0,58.0,2.80364,10.7326
-17.568,-1.653,-9.414,20.0,-0.8784,-0.0827,-0.4707,58.0,10.50471,17.85647
-15.166,-11.272,-6.551,20.0,1.0,0.0,0.0,58.0,12.62484,2.20647
-15.166,-11.272,-6.551,20.0,0.0,1.0,0.0,58.0,8.64446,10.93108
-15.166,-11.272,-6.551,20.0,0.0,0.0,1.0,58.0,4.56173,14.17373
-15.166,-11.272,-6.551,20.0,-0.7583,-0.5636,-0.3276,58.0,8.86693,10.18541
14.594,36.963,-4.557,40.0,1.0,0.0,0.0,38.0,11.04346,4.42876
14.594,36.963,-4.557,40.0,0.0,1.0,0.0,38.0,6.27729,3.43159
14.594,36.963,-4.557,40.0,0.0,0.0,1.0,38.0,7.35517,19.10736
14.594,36.963,-4.557,40.0,0.3649,0.9241,-0.1139,38.0,3.86298,4.59373
35.04,-17.057,9.014,40.0,1.0,0.0,0.0,38.0,13.73275,2.19709
35.04,-17.057,9.014,40.0,0.0,1.0,0.0,38.0,4.19035,6.685
35.04,-17.057,9.014,40.0,0.0,0.0,1.0,38.0,3.32018,4.44755
35.04,-17.057,9.014,40.0,0.876,-0.4264,0.2253,38.0,9.868,-1.67562
30.787,3.204,-25.336,40.0,1.0,0.0,0.0,38.0,12.61903,21.32938
30.787,3.204,-25.336,40.0,0.0,1.0,0.0,38.0,4.65389,4.83084
30.787,3.204,-25.336,40.0,0.0,0.0,1.0,38.0,4.30387,25.50778
30.787,3.204,-25.336,40.0,0.7697,0.0801,-0.6334,38.0,6.32984,12.63366
-35.033,-17.397,8.369,40.0,1.0,0.0,0.0,38.0,13.93176,6.0369
-35.033,-17.397,8.369,40.0,0.0,1.0,0.0,38.0,4.68308,5.52747
-35.033,-17.397,8.369,40.0,0.0,0.0,1.0,38.0,3.89701,9.25873
-35.033,-17.397,8.369,40.0,-0.8758,-0.4349,0.2092,38.0,9.94741,4.82558
-38.709,-8.02,-6.105,40.0,1.0,0.0,0.0,38.0,11.85528,8.64627
-38.709,-8.02,-6.105,40.0,0.0,1.0,0.0,38.0,11.17102,9.01703
-38.709,-8.02,-6.105,40.0,0.0,0.0,1.0,38.0,5.45732,5.68388
-38.709,-8.02,-6.105,40.0,-0.9677,-0.2005,-0.1526,38.0,12.15589,9.11061
31.729,12.593,20.848,40.0,1.0,0.0,0.0,38.0,19.1912,13.6384
31.729,12.593,20.848,40.0,0.0,1.0,0.0,38.0,5.72428,10.87996
31.729,12.593,20.848,40.0,0.0,0.0,1.0,38.0,5.83425,1.59382
31.729,12.593,20.848,40.0,0.7932,0.3148,0.5212,38.0,8.15685,9.98101
-38.123,-7.557,45.711,60.0,1.0,0.0,0.0,18.0,4.87798,6.60233
-38.123,-7.557,45.711,60.0,0.0,1.0,0.0,18.0,4.28071,11.67947
-38.123,-7.557,45.711,60.0,0.0,0.0,1.0,18.0,4.01781,7.795
-38.123,-7.557,45.711,60.0,-0.6354,-0.126,0.7619,18.0,4.27504,7.55644
36.258,-30.568,36.755,60.0,1.0,0.0,0.0,18.0,4.35777,11.03168
36.258,-30.568,36.755,60.0,0.0,1.0,0.0,18.0,5.2718,10.02471
36.258,-30.568,36.755,60.0,0.0,0.0,1.0,18.0,3.45863,5.81922
36.258,-30.568,36.755,60.0,0.6043,-0.5095,0.6126,18.0,5.20705,10.78251
51.157,29.698,10.052,60.0,1.0,0.0,0.0,18.0,10.77982,13.96579
51.157,29.698,10.052,60.0,0.0,1.0,0.0,18.0,2.32856,7.72087
51.157,29.698,10.052,60.0,0.0,0.0,1.0,18.0,3.59644,2.33167
51.157,29.698,10.052,60.0,0.8526,0.495,0.1675,18.0,6.41275,14.94218
-7.647,35.516,47.751,60.0,1.0,0.0,0.0,18.0,6.76494,1.07437
-7.647,35.516,47.751,60.0,0.0,1.0,0.0,18.0,4.76846,4.78012
-7.647,35.516,47.751,60.0,0.0,0.0,1.0,18.0,2.40452,5.39493
